metric,contrast,estimate,se,ci_low,ci_high,standardized_difference,d_ci_low,d_ci_high,pooled_player_sd,n_a,n_b,log10_p,log10_p_holm,p_value,p_holm,correction_family
get_back_pings_pm,KR-EUW,0.35743511819211193,0.005320913377694933,0.34677971257470735,0.36805071906282744,0.4651902609041158,0.4513309856728951,0.4801892078360133,0.7683632875233083,42000,42000,-981.8132286438913,-980.4152886352192,1.5373450581e-982,3.8433626451e-981,27 signal by regional comparisons
enemy_missing_pings_pm,EUW-NA,0.04359661433423763,0.004537877399366939,0.034716608777824016,0.052582873692921236,0.06620677273051179,0.05265005755353114,0.07968504554407002,0.6584917605286909,42000,42000,-21.127856436869603,-20.428886432533584,7.4497819791e-22,3.7248909896e-21,27 signal by regional comparisons
enemy_vision_pings_pm,EUW-NA,0.04132731279998024,0.005057408858146473,0.03178946529777735,0.05149601887853439,0.05649229258447626,0.043426386270662046,0.07036123023616261,0.7315566586040223,42000,42000,-15.51679647702621,-14.914736485698247,3.0423104064e-16,1.2169241626e-15,27 signal by regional comparisons
command_pings_pm,EUW-NA,0.09382434917219987,0.004804367956787536,0.08521300134819987,0.10321485362410629,0.13471571859372086,0.12247375479843886,0.14835212194221173,0.6964617800477891,42000,42000,-84.205615643519,-83.09167229121216,6.2285127310e-85,8.0970665504e-84,27 signal by regional comparisons
need_vision_pings_pm,EUW-NA,0.05023453000990523,0.003627667474662584,0.04247232810230354,0.05733761561097389,0.09553655786637233,0.08103424290613322,0.10871279410672575,0.5258147365971529,42000,42000,-42.88103221158994,-41.926789702150614,1.3151272857e-43,1.1836145571e-42,27 signal by regional comparisons
assist_me_pings_pm,EUW-NA,0.12195367042861556,0.004554891698704839,0.11278974862403877,0.13046618940977023,0.18485059191574219,0.17117447555385615,0.19761029815054873,0.6597418442901387,42000,42000,-157.19029827796504,-155.95984935658677,6.4521093924e-158,1.0968585967e-156,27 signal by regional comparisons
on_my_way_pings_pm,EUW-NA,0.05939445704310626,0.004733035790355971,0.049937343014158427,0.06897440179997785,0.08658670987881921,0.07283861396090151,0.10037100020772159,0.6859535040219296,42000,42000,-35.3946935407569,-34.49160355376495,4.0300131128e-36,3.2240104902e-35,27 signal by regional comparisons
push_pings_pm,EUW-NA,0.09324495982345854,0.004180083951026728,0.0852128779188364,0.10166613221452749,0.15379434754278248,0.1406791529826422,0.16754105886193307,0.6062964036927279,42000,42000,-109.49992354799045,-108.35379551231222,3.1628343879e-110,4.4279681430e-109,27 signal by regional comparisons
all_in_pings_pm,EUW-NA,0.061136460821927086,0.0050683595569351175,0.05141746652346751,0.07099091475749683,0.08303312098269736,0.06954122480317437,0.0967686898638812,0.7362900502640006,42000,42000,-32.77755242376412,-31.932454383749864,1.6689663338e-33,1.1682764337e-32,27 signal by regional comparisons
get_back_pings_pm,EUW-NA,0.02115834504394004,0.004618719398234008,0.011575122594233656,0.029836120600293413,0.03165606442138379,0.017288489091923206,0.044378794510269486,0.6683820440309536,42000,42000,-5.334642380433124,-4.857521125713461,4.6276192562e-6,1.3882857769e-5,27 signal by regional comparisons
