region,patch,field,n_participants,field_absent,null_value,invalid_value,observed_zero
EUW,15.16,getBackPings,30070,0,0,0,18834
EUW,15.16,needVisionPings,30070,0,0,0,24811
EUW,15.16,onMyWayPings,30070,0,0,0,5924
EUW,15.16,pushPings,30070,0,0,0,25532
EUW,15.17,allInPings,32070,0,0,0,25083
EUW,15.17,assistMePings,32070,0,0,0,13174
EUW,15.17,commandPings,32070,0,0,0,8603
EUW,15.17,enemyMissingPings,32070,0,0,0,8138
EUW,15.17,enemyVisionPings,32070,0,0,0,17709
EUW,15.17,getBackPings,32070,0,0,0,19940
EUW,15.17,needVisionPings,32070,0,0,0,26336
EUW,15.17,onMyWayPings,32070,0,0,0,6397
EUW,15.17,pushPings,32070,0,0,0,27079
EUW,15.18,allInPings,38490,0,0,0,30114
EUW,15.18,assistMePings,38490,0,0,0,15728
EUW,15.18,commandPings,38490,0,0,0,10033
EUW,15.18,enemyMissingPings,38490,0,0,0,9756
EUW,15.18,enemyVisionPings,38490,0,0,0,21198
EUW,15.18,getBackPings,38490,0,0,0,24026
EUW,15.18,needVisionPings,38490,0,0,0,31579
EUW,15.18,onMyWayPings,38490,0,0,0,7579
EUW,15.18,pushPings,38490,0,0,0,32450
EUW,15.19,allInPings,43270,0,0,0,33917
EUW,15.19,assistMePings,43270,0,0,0,17873
EUW,15.19,commandPings,43270,0,0,0,11438
EUW,15.19,enemyMissingPings,43270,0,0,0,11014
EUW,15.19,enemyVisionPings,43270,0,0,0,23967
EUW,15.19,getBackPings,43270,0,0,0,27266
EUW,15.19,needVisionPings,43270,0,0,0,35554
EUW,15.19,onMyWayPings,43270,0,0,0,8544
EUW,15.19,pushPings,43270,0,0,0,36629
EUW,15.2,allInPings,15040,0,0,0,12057
EUW,15.2,assistMePings,15040,0,0,0,6223
EUW,15.2,commandPings,15040,0,0,0,4024
EUW,15.2,enemyMissingPings,15040,0,0,0,4016
EUW,15.2,enemyVisionPings,15040,0,0,0,8703
EUW,15.2,getBackPings,15040,0,0,0,9682
EUW,15.2,needVisionPings,15040,0,0,0,12515
EUW,15.2,onMyWayPings,15040,0,0,0,2988
EUW,15.2,pushPings,15040,0,0,0,12925
EUW,15.20,allInPings,49070,0,0,0,38382
EUW,15.20,assistMePings,49070,0,0,0,20122
EUW,15.20,commandPings,49070,0,0,0,13013
EUW,15.20,enemyMissingPings,49070,0,0,0,12644
EUW,15.20,enemyVisionPings,49070,0,0,0,27073
EUW,15.20,getBackPings,49070,0,0,0,30976
EUW,15.20,needVisionPings,49070,0,0,0,40168
EUW,15.20,onMyWayPings,49070,0,0,0,9607
EUW,15.20,pushPings,49070,0,0,0,41483
EUW,15.21,allInPings,61660,0,0,0,48266
EUW,15.21,assistMePings,61660,0,0,0,25432
EUW,15.21,commandPings,61660,0,0,0,16363
EUW,15.21,enemyMissingPings,61660,0,0,0,15778
EUW,15.21,enemyVisionPings,61660,0,0,0,34418
EUW,15.21,getBackPings,61660,0,0,0,39009
EUW,15.21,needVisionPings,61660,0,0,0,50466
EUW,15.21,onMyWayPings,61660,0,0,0,11911
EUW,15.21,pushPings,61660,0,0,0,52074
EUW,15.22,allInPings,81570,0,0,0,63697
EUW,15.22,assistMePings,81570,0,0,0,33574
EUW,15.22,commandPings,81570,0,0,0,21500
EUW,15.22,enemyMissingPings,81570,0,0,0,21068
EUW,15.22,enemyVisionPings,81570,0,0,0,45097
EUW,15.22,getBackPings,81570,0,0,0,51547
EUW,15.22,needVisionPings,81570,0,0,0,66719
EUW,15.22,onMyWayPings,81570,0,0,0,15710
EUW,15.22,pushPings,81570,0,0,0,69033
EUW,15.23,allInPings,99980,0,0,0,78225
EUW,15.23,assistMePings,99980,0,0,0,41538
EUW,15.23,commandPings,99980,0,0,0,27031
EUW,15.23,enemyMissingPings,99980,0,0,0,25888
EUW,15.23,enemyVisionPings,99980,0,0,0,55114
EUW,15.23,getBackPings,99980,0,0,0,63041
EUW,15.23,needVisionPings,99980,0,0,0,81641
EUW,15.23,onMyWayPings,99980,0,0,0,19474
EUW,15.23,pushPings,99980,0,0,0,84477
EUW,15.24,allInPings,404140,0,0,0,312630
EUW,15.24,assistMePings,404140,0,0,0,167479
EUW,15.24,commandPings,404140,0,0,0,111499
EUW,15.24,enemyMissingPings,404140,0,0,0,106238
EUW,15.24,enemyVisionPings,404140,0,0,0,225713
EUW,15.24,getBackPings,404140,0,0,0,253974
EUW,15.24,needVisionPings,404140,0,0,0,328606
EUW,15.24,onMyWayPings,404140,0,0,0,81331
EUW,15.24,pushPings,404140,0,0,0,341535
EUW,15.3,allInPings,15670,0,0,0,12619
EUW,15.3,assistMePings,15670,0,0,0,6574
EUW,15.3,commandPings,15670,0,0,0,4075
EUW,15.3,enemyMissingPings,15670,0,0,0,4017
EUW,15.3,enemyVisionPings,15670,0,0,0,8868
EUW,15.3,getBackPings,15670,0,0,0,9938
EUW,15.3,needVisionPings,15670,0,0,0,13106
EUW,15.3,onMyWayPings,15670,0,0,0,3201
EUW,15.3,pushPings,15670,0,0,0,13458
EUW,15.4,allInPings,14980,0,0,0,11966
EUW,15.4,assistMePings,14980,0,0,0,6286
EUW,15.4,commandPings,14980,0,0,0,3916
EUW,15.4,enemyMissingPings,14980,0,0,0,3871
EUW,15.4,enemyVisionPings,14980,0,0,0,8484
EUW,15.4,getBackPings,14980,0,0,0,9689
EUW,15.4,needVisionPings,14980,0,0,0,12565
EUW,15.4,onMyWayPings,14980,0,0,0,3059
EUW,15.4,pushPings,14980,0,0,0,12892
EUW,15.5,allInPings,12360,0,0,0,9806
EUW,15.5,assistMePings,12360,0,0,0,5134
EUW,15.5,commandPings,12360,0,0,0,3373
EUW,15.5,enemyMissingPings,12360,0,0,0,3279
EUW,15.5,enemyVisionPings,12360,0,0,0,7015
EUW,15.5,getBackPings,12360,0,0,0,7890
EUW,15.5,needVisionPings,12360,0,0,0,10312
EUW,15.5,onMyWayPings,12360,0,0,0,2584
EUW,15.5,pushPings,12360,0,0,0,10563
EUW,15.6,allInPings,13240,0,0,0,10431
EUW,15.6,assistMePings,13240,0,0,0,5582
EUW,15.6,commandPings,13240,0,0,0,3451
EUW,15.6,enemyMissingPings,13240,0,0,0,3351
EUW,15.6,enemyVisionPings,13240,0,0,0,7638
EUW,15.6,getBackPings,13240,0,0,0,8372
EUW,15.6,needVisionPings,13240,0,0,0,11009
EUW,15.6,onMyWayPings,13240,0,0,0,2718
EUW,15.6,pushPings,13240,0,0,0,11298
EUW,15.7,allInPings,11510,0,0,0,9123
EUW,15.7,assistMePings,11510,0,0,0,4744
EUW,15.7,commandPings,11510,0,0,0,3108
EUW,15.7,enemyMissingPings,11510,0,0,0,3003
EUW,15.7,enemyVisionPings,11510,0,0,0,6547
EUW,15.7,getBackPings,11510,0,0,0,7429
EUW,15.7,needVisionPings,11510,0,0,0,9552
EUW,15.7,onMyWayPings,11510,0,0,0,2253
EUW,15.7,pushPings,11510,0,0,0,9870
EUW,15.8,allInPings,13520,0,0,0,10771
EUW,15.8,assistMePings,13520,0,0,0,5783
EUW,15.8,commandPings,13520,0,0,0,3591
EUW,15.8,enemyMissingPings,13520,0,0,0,3480
EUW,15.8,enemyVisionPings,13520,0,0,0,7664
EUW,15.8,getBackPings,13520,0,0,0,8735
EUW,15.8,needVisionPings,13520,0,0,0,11271
EUW,15.8,onMyWayPings,13520,0,0,0,2717
EUW,15.8,pushPings,13520,0,0,0,11529
EUW,15.9,allInPings,14740,0,0,0,11840
EUW,15.9,assistMePings,14740,0,0,0,6290
EUW,15.9,commandPings,14740,0,0,0,3982
EUW,15.9,enemyMissingPings,14740,0,0,0,3915
EUW,15.9,enemyVisionPings,14740,0,0,0,8214
EUW,15.9,getBackPings,14740,0,0,0,9368
EUW,15.9,needVisionPings,14740,0,0,0,12322
EUW,15.9,onMyWayPings,14740,0,0,0,2997
EUW,15.9,pushPings,14740,0,0,0,12624
EUW,16.1,allInPings,765980,0,0,0,600958
EUW,16.1,assistMePings,765980,0,0,0,325069
EUW,16.1,commandPings,765980,0,0,0,198595
EUW,16.1,enemyMissingPings,765980,0,0,0,204884
EUW,16.1,enemyVisionPings,765980,0,0,0,407934
EUW,16.1,getBackPings,765980,0,0,0,547110
EUW,16.1,needVisionPings,765980,0,0,0,636951
EUW,16.1,onMyWayPings,765980,0,0,0,155509
EUW,16.1,pushPings,765980,0,0,0,642126
EUW,16.2,allInPings,908130,0,0,0,708246
EUW,16.2,assistMePings,908130,0,0,0,381842
EUW,16.2,commandPings,908130,0,0,0,234804
EUW,16.2,enemyMissingPings,908130,0,0,0,239035
EUW,16.2,enemyVisionPings,908130,0,0,0,481218
EUW,16.2,getBackPings,908130,0,0,0,642456
EUW,16.2,needVisionPings,908130,0,0,0,751780
EUW,16.2,onMyWayPings,908130,0,0,0,179166
EUW,16.2,pushPings,908130,0,0,0,756815
EUW,16.3,allInPings,1238230,0,0,0,962125
EUW,16.3,assistMePings,1238230,0,0,0,520816
EUW,16.3,commandPings,1238230,0,0,0,332634
EUW,16.3,enemyMissingPings,1238230,0,0,0,331847
EUW,16.3,enemyVisionPings,1238230,0,0,0,674701
EUW,16.3,getBackPings,1238230,0,0,0,880574
EUW,16.3,needVisionPings,1238230,0,0,0,1017319
EUW,16.3,onMyWayPings,1238230,0,0,0,252548
EUW,16.3,pushPings,1238230,0,0,0,1032323
EUW,16.4,allInPings,1546990,0,0,0,1204325
EUW,16.4,assistMePings,1546990,0,0,0,661009
EUW,16.4,commandPings,1546990,0,0,0,436131
EUW,16.4,enemyMissingPings,1546990,0,0,0,434865
EUW,16.4,enemyVisionPings,1546990,0,0,0,868036
EUW,16.4,getBackPings,1546990,0,0,0,1105922
EUW,16.4,needVisionPings,1546990,0,0,0,1269467
EUW,16.4,onMyWayPings,1546990,0,0,0,335513
EUW,16.4,pushPings,1546990,0,0,0,1296712
EUW,16.5,allInPings,1342250,0,0,0,1034667
EUW,16.5,assistMePings,1342250,0,0,0,526244
EUW,16.5,commandPings,1342250,0,0,0,317892
EUW,16.5,enemyMissingPings,1342250,0,0,0,312649
EUW,16.5,enemyVisionPings,1342250,0,0,0,677996
EUW,16.5,getBackPings,1342250,0,0,0,943739
EUW,16.5,needVisionPings,1342250,0,0,0,1101006
EUW,16.5,onMyWayPings,1342250,0,0,0,224475
EUW,16.5,pushPings,1342250,0,0,0,1112021
EUW,16.6,allInPings,545590,0,0,0,409410
EUW,16.6,assistMePings,545590,0,0,0,197745
EUW,16.6,commandPings,545590,0,0,0,102969
EUW,16.6,enemyMissingPings,545590,0,0,0,103609
EUW,16.6,enemyVisionPings,545590,0,0,0,239509
EUW,16.6,getBackPings,545590,0,0,0,368765
EUW,16.6,needVisionPings,545590,0,0,0,447709
EUW,16.6,onMyWayPings,545590,0,0,0,67059
EUW,16.6,pushPings,545590,0,0,0,439795
KR,14.11,allInPings,660,0,0,0,561
KR,14.11,assistMePings,660,0,0,0,356
KR,14.11,commandPings,660,0,0,0,238
KR,14.11,enemyMissingPings,660,0,0,0,192
KR,14.11,enemyVisionPings,660,0,0,0,458
KR,14.11,getBackPings,660,0,0,0,355
KR,14.11,needVisionPings,660,0,0,0,564
KR,14.11,onMyWayPings,660,0,0,0,194
KR,14.11,pushPings,660,0,0,0,597
KR,14.12,allInPings,1750,0,0,0,1470
KR,14.12,assistMePings,1750,0,0,0,733
KR,14.12,commandPings,1750,0,0,0,467
KR,14.12,enemyMissingPings,1750,0,0,0,428
KR,14.12,enemyVisionPings,1750,0,0,0,1123
KR,14.12,getBackPings,1750,0,0,0,868
KR,14.12,needVisionPings,1750,0,0,0,1527
KR,14.12,onMyWayPings,1750,0,0,0,396
KR,14.12,pushPings,1750,0,0,0,1598
KR,14.13,allInPings,4490,0,0,0,3807
KR,14.13,assistMePings,4490,0,0,0,1988
KR,14.13,commandPings,4490,0,0,0,1106
KR,14.13,enemyMissingPings,4490,0,0,0,1027
KR,14.13,enemyVisionPings,4490,0,0,0,2662
KR,14.13,getBackPings,4490,0,0,0,2054
KR,14.13,needVisionPings,4490,0,0,0,3861
KR,14.13,onMyWayPings,4490,0,0,0,939
KR,14.13,pushPings,4490,0,0,0,4128
KR,14.14,allInPings,5830,0,0,0,5027
KR,14.14,assistMePings,5830,0,0,0,2573
KR,14.14,commandPings,5830,0,0,0,1494
KR,14.14,enemyMissingPings,5830,0,0,0,1319
KR,14.14,enemyVisionPings,5830,0,0,0,3428
KR,14.14,getBackPings,5830,0,0,0,2673
KR,14.14,needVisionPings,5830,0,0,0,5025
KR,14.14,onMyWayPings,5830,0,0,0,1195
KR,14.14,pushPings,5830,0,0,0,5346
KR,14.15,allInPings,5890,0,0,0,5042
KR,14.15,assistMePings,5890,0,0,0,2629
KR,14.15,commandPings,5890,0,0,0,1480
KR,14.15,enemyMissingPings,5890,0,0,0,1348
KR,14.15,enemyVisionPings,5890,0,0,0,3555
KR,14.15,getBackPings,5890,0,0,0,2699
KR,14.15,needVisionPings,5890,0,0,0,5100
KR,14.15,onMyWayPings,5890,0,0,0,1174
KR,14.15,pushPings,5890,0,0,0,5395
KR,14.16,allInPings,5930,0,0,0,5075
KR,14.16,assistMePings,5930,0,0,0,2643
KR,14.16,commandPings,5930,0,0,0,1351
KR,14.16,enemyMissingPings,5930,0,0,0,1345
KR,14.16,enemyVisionPings,5930,0,0,0,3475
KR,14.16,getBackPings,5930,0,0,0,2659
KR,14.16,needVisionPings,5930,0,0,0,5180
KR,14.16,onMyWayPings,5930,0,0,0,1200
KR,14.16,pushPings,5930,0,0,0,5458
KR,14.17,allInPings,5860,0,0,0,4996
KR,14.17,assistMePings,5860,0,0,0,2605
KR,14.17,commandPings,5860,0,0,0,1394
KR,14.17,enemyMissingPings,5860,0,0,0,1350
KR,14.17,enemyVisionPings,5860,0,0,0,3502
KR,14.17,getBackPings,5860,0,0,0,2762
KR,14.17,needVisionPings,5860,0,0,0,5069
KR,14.17,onMyWayPings,5860,0,0,0,1232
KR,14.17,pushPings,5860,0,0,0,5410
KR,14.18,allInPings,8170,0,0,0,7030
KR,14.18,assistMePings,8170,0,0,0,3593
KR,14.18,commandPings,8170,0,0,0,1898
KR,14.18,enemyMissingPings,8170,0,0,0,1793
KR,14.18,enemyVisionPings,8170,0,0,0,4829
KR,14.18,getBackPings,8170,0,0,0,3774
KR,14.18,needVisionPings,8170,0,0,0,7111
KR,14.18,onMyWayPings,8170,0,0,0,1678
KR,14.18,pushPings,8170,0,0,0,7577
KR,14.19,allInPings,7950,0,0,0,6756
KR,14.19,assistMePings,7950,0,0,0,3370
KR,14.19,commandPings,7950,0,0,0,1582
KR,14.19,enemyMissingPings,7950,0,0,0,1679
KR,14.19,enemyVisionPings,7950,0,0,0,4499
KR,14.19,getBackPings,7950,0,0,0,3404
KR,14.19,needVisionPings,7950,0,0,0,6930
KR,14.19,onMyWayPings,7950,0,0,0,1415
KR,14.19,pushPings,7950,0,0,0,7364
KR,14.20,allInPings,7610,0,0,0,6591
KR,14.20,assistMePings,7610,0,0,0,3315
KR,14.20,commandPings,7610,0,0,0,1776
KR,14.20,enemyMissingPings,7610,0,0,0,1663
KR,14.20,enemyVisionPings,7610,0,0,0,4341
KR,14.20,getBackPings,7610,0,0,0,3362
KR,14.20,needVisionPings,7610,0,0,0,6618
KR,14.20,onMyWayPings,7610,0,0,0,1561
KR,14.20,pushPings,7610,0,0,0,7027
KR,14.21,allInPings,8260,0,0,0,7081
KR,14.21,assistMePings,8260,0,0,0,3572
KR,14.21,commandPings,8260,0,0,0,1874
KR,14.21,enemyMissingPings,8260,0,0,0,1842
KR,14.21,enemyVisionPings,8260,0,0,0,4717
KR,14.21,getBackPings,8260,0,0,0,3691
KR,14.21,needVisionPings,8260,0,0,0,7187
KR,14.21,onMyWayPings,8260,0,0,0,1588
KR,14.21,pushPings,8260,0,0,0,7631
KR,14.22,allInPings,11090,0,0,0,9444
KR,14.22,assistMePings,11090,0,0,0,4896
KR,14.22,commandPings,11090,0,0,0,2642
KR,14.22,enemyMissingPings,11090,0,0,0,2555
KR,14.22,enemyVisionPings,11090,0,0,0,6522
KR,14.22,getBackPings,11090,0,0,0,5165
KR,14.22,needVisionPings,11090,0,0,0,9634
KR,14.22,onMyWayPings,11090,0,0,0,2187
KR,14.22,pushPings,11090,0,0,0,10217
KR,14.23,allInPings,16670,0,0,0,14093
KR,14.23,assistMePings,16670,0,0,0,7021
KR,14.23,commandPings,16670,0,0,0,3834
KR,14.23,enemyMissingPings,16670,0,0,0,3553
KR,14.23,enemyVisionPings,16670,0,0,0,9849
KR,14.23,getBackPings,16670,0,0,0,7575
KR,14.23,needVisionPings,16670,0,0,0,14311
KR,14.23,onMyWayPings,16670,0,0,0,3150
KR,14.23,pushPings,16670,0,0,0,15346
KR,14.24,allInPings,27750,0,0,0,23403
KR,14.24,assistMePings,27750,0,0,0,11900
KR,14.24,commandPings,27750,0,0,0,6631
KR,14.24,enemyMissingPings,27750,0,0,0,5987
