region,tier,patch,n_matches,reference_weight
EUW,BRONZE,15.13,862,0.005731136999049851
EUW,BRONZE,15.14,832,0.005090712924177301
EUW,BRONZE,15.15,788,0.004807814246777394
EUW,BRONZE,15.16,883,0.005245819440406906
EUW,BRONZE,15.17,983,0.005383854484724447
EUW,BRONZE,15.18,1233,0.005962821260713568
EUW,BRONZE,15.19,1479,0.007402677977411029
EUW,BRONZE,15.20,1493,0.00809870627508287
EUW,BRONZE,15.21,1959,0.008540125763094795
EUW,BRONZE,15.22,2469,0.01233877214169907
EUW,BRONZE,15.23,2938,0.016694436260976955
EUW,BRONZE,15.24,12780,0.0681390729898098
EUW,BRONZE,15.3,496,0.002533894188090551
EUW,BRONZE,15.4,463,0.0024626817624002293
EUW,BRONZE,15.8,399,0.002169540201853084
EUW,BRONZE,15.9,373,0.0025153594471574534
EUW,BRONZE,16.1,15131,0.11492222237396864
EUW,BRONZE,16.2,13674,0.13776190076694808
EUW,BRONZE,16.3,16704,0.18221503811328044
EUW,BRONZE,16.4,21333,0.21594143802275287
EUW,BRONZE,16.5,10643,0.16976798406402485
EUW,SILVER,14.24,529,0.0039015629664170006
EUW,SILVER,15.1,407,0.0027124130086566994
EUW,SILVER,15.10,388,0.0028021601752801183
EUW,SILVER,15.11,402,0.003078230263915201
EUW,SILVER,15.12,597,0.0037796238813308336
EUW,SILVER,15.13,722,0.005731136999049851
EUW,SILVER,15.14,527,0.005090712924177301
EUW,SILVER,15.15,579,0.004807814246777394
EUW,SILVER,15.16,618,0.005245819440406906
EUW,SILVER,15.17,687,0.005383854484724447
EUW,SILVER,15.18,725,0.005962821260713568
EUW,SILVER,15.19,796,0.007402677977411029
EUW,SILVER,15.20,957,0.00809870627508287
EUW,SILVER,15.21,1383,0.008540125763094795
EUW,SILVER,15.22,1728,0.01233877214169907
EUW,SILVER,15.23,2196,0.016694436260976955
EUW,SILVER,15.24,8180,0.0681390729898098
EUW,SILVER,15.3,402,0.002533894188090551
EUW,SILVER,15.4,314,0.0024626817624002293
EUW,SILVER,15.8,291,0.002169540201853084
EUW,SILVER,15.9,266,0.0025153594471574534
EUW,SILVER,16.1,12610,0.11492222237396864
EUW,SILVER,16.2,12971,0.13776190076694808
EUW,SILVER,16.3,17311,0.18221503811328044
EUW,SILVER,16.4,22109,0.21594143802275287
EUW,SILVER,16.5,19120,0.16976798406402485
EUW,GOLD,14.24,316,0.0039015629664170006
EUW,GOLD,15.1,287,0.0027124130086566994
EUW,GOLD,15.10,356,0.0028021601752801183
EUW,GOLD,15.11,353,0.003078230263915201
EUW,GOLD,15.12,443,0.0037796238813308336
EUW,GOLD,15.13,579,0.005731136999049851
EUW,GOLD,15.14,534,0.005090712924177301
EUW,GOLD,15.15,421,0.004807814246777394
EUW,GOLD,15.16,512,0.005245819440406906
EUW,GOLD,15.17,520,0.005383854484724447
EUW,GOLD,15.18,673,0.005962821260713568
EUW,GOLD,15.19,799,0.007402677977411029
EUW,GOLD,15.20,773,0.00809870627508287
EUW,GOLD,15.21,1022,0.008540125763094795
EUW,GOLD,15.22,1498,0.01233877214169907
EUW,GOLD,15.23,1687,0.016694436260976955
EUW,GOLD,15.24,6081,0.0681390729898098
EUW,GOLD,15.3,215,0.002533894188090551
EUW,GOLD,15.4,263,0.0024626817624002293
EUW,GOLD,15.8,252,0.002169540201853084
EUW,GOLD,15.9,295,0.0025153594471574534
EUW,GOLD,16.1,11902,0.11492222237396864
EUW,GOLD,16.2,13107,0.13776190076694808
EUW,GOLD,16.3,18478,0.18221503811328044
EUW,GOLD,16.4,21953,0.21594143802275287
EUW,GOLD,16.5,28604,0.16976798406402485
EUW,PLATINUM,14.24,193,0.0039015629664170006
EUW,PLATINUM,15.1,178,0.0027124130086566994
EUW,PLATINUM,15.10,181,0.0028021601752801183
EUW,PLATINUM,15.11,309,0.003078230263915201
EUW,PLATINUM,15.12,279,0.0037796238813308336
EUW,PLATINUM,15.13,434,0.005731136999049851
EUW,PLATINUM,15.14,342,0.005090712924177301
EUW,PLATINUM,15.15,242,0.004807814246777394
EUW,PLATINUM,15.16,335,0.005245819440406906
EUW,PLATINUM,15.17,324,0.005383854484724447
EUW,PLATINUM,15.18,378,0.005962821260713568
EUW,PLATINUM,15.19,388,0.007402677977411029
EUW,PLATINUM,15.20,561,0.00809870627508287
EUW,PLATINUM,15.21,578,0.008540125763094795
EUW,PLATINUM,15.22,875,0.01233877214169907
EUW,PLATINUM,15.23,1029,0.016694436260976955
EUW,PLATINUM,15.24,3768,0.0681390729898098
EUW,PLATINUM,15.3,162,0.002533894188090551
EUW,PLATINUM,15.4,157,0.0024626817624002293
EUW,PLATINUM,15.8,117,0.002169540201853084
EUW,PLATINUM,15.9,200,0.0025153594471574534
EUW,PLATINUM,16.1,9429,0.11492222237396864
EUW,PLATINUM,16.2,11693,0.13776190076694808
EUW,PLATINUM,16.3,16156,0.18221503811328044
EUW,PLATINUM,16.4,18941,0.21594143802275287
EUW,PLATINUM,16.5,27315,0.16976798406402485
EUW,EMERALD,14.24,88,0.0039015629664170006
EUW,EMERALD,15.1,119,0.0027124130086566994
EUW,EMERALD,15.10,126,0.0028021601752801183
EUW,EMERALD,15.11,148,0.003078230263915201
EUW,EMERALD,15.12,190,0.0037796238813308336
EUW,EMERALD,15.13,230,0.005731136999049851
EUW,EMERALD,15.14,243,0.005090712924177301
EUW,EMERALD,15.15,236,0.004807814246777394
EUW,EMERALD,15.16,265,0.005245819440406906
