predictor,beta,se,ci_low,ci_high,odds_ratio,or_low,or_high,p_value,n_matches,outcome,model,interval_method,specification,status,q_value_within_sensitivity_family
valid_ward_kills_diff_z,0.0281919693613555,0.0014558957832067,0.0253384136262702,0.0310455250964408,1.028593123834737,1.0256621598505415,1.0315324634324754,1.5533482777357653e-83,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,component_valid_ward_kills,estimated,3.1066965554715306e-83
control_ward_purchases_diff_z,0.055621250169586,0.0014610335867897,0.052757624339478,0.0584848759996939,1.057197194640626,1.0541741080068854,1.0602289506703664,0.0,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,component_control_ward_purchases,estimated,0.0
valid_wards_placed_diff_z,0.0755939192289327,0.0015768445451279,0.072503303920482,0.0786845345373834,1.0785245171525002,1.0751963584475577,1.0818629778271978,0.0,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,three_components_simultaneously,estimated,0.0
valid_ward_kills_diff_z,0.0527101176177782,0.0015126555128564,0.0497453128125795,0.0556749224229769,1.0541240288404712,1.0510033851900231,1.0572539383191075,4.8811221516451476e-266,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,three_components_simultaneously,estimated,1.8129882277539118e-265
control_ward_purchases_diff_z,0.0402940228116864,0.0015267998544586,0.0373014950969475,0.0432865505264253,1.0411168412958,1.0380059273635978,1.0442370786675303,1.7307301052164264e-153,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,three_components_simultaneously,estimated,5.39987792827525e-153
maintenance_diff_z,0.080700385936301,0.0014712578411917,0.0778167205675652,0.0835840513050368,1.0840460524622444,1.0809245292798857,1.0871765900639396,0.0,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,deployment_and_purchase,estimated,0.0
maintenance_diff_z,0.0862176344209342,0.0014853013561055,0.0833064437629673,0.0891288250789012,1.0900435334853895,1.086874823531247,1.0932214815988457,0.0,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,placement_and_clearing,estimated,0.0
maintenance_diff_z,0.0956729656311995,0.001490066269366,0.0927524357432421,0.0985934955191568,1.1003991368057726,1.097190076597146,1.1036175828698147,0.0,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,purchase_net_of_undo,estimated,0.0
maintenance_diff_z,0.0987859168176153,0.0038402741186092,0.0912589795451411,0.1063128540900895,1.1038299628306707,1.0955526942604932,1.1121697689449954,6.355364152572484e-146,277676,first_post_neutral_blue,logistic,match-score HC0 Wald,tier_IRON,estimated,1.8359940885209396e-145
maintenance_diff_z,0.091656457756026,0.0035714945810124,0.0846563283772415,0.0986565871348105,1.0959882391394034,1.0883429698242837,1.1036872140827316,3.001521167781589e-145,339992,first_post_neutral_blue,logistic,match-score HC0 Wald,tier_BRONZE,estimated,8.361380395962998e-145
