measure,contrast,type,estimate,ci_low,ci_high,se,family,log10_p,log10_p_holm,p_value,p_holm
enemy_vision_pings_pm,NA PLATINUM-GOLD,adjacent,0.13001600811096614,0.09728416511562965,0.16218493245735457,0.01769777048850018,adjacent_nine_signals,-12.691390318807459,-10.60503048813271,2.0352121243e-13,2.4829587917e-11
enemy_vision_pings_pm,NA EMERALD-PLATINUM,adjacent,0.16093561217401386,0.12059939210680842,0.20136749835253995,0.019973987653917995,adjacent_nine_signals,-15.107774198558598,-13.00056422891073,7.8023567070e-16,9.9870165850e-14
enemy_vision_pings_pm,NA DIAMOND-EMERALD,adjacent,0.1327455936710068,0.08963477385961992,0.1795426184130078,0.022910310173717734,adjacent_nine_signals,-8.163224855553928,-6.167589660956378,6.8671280306e-9,6.7984567503e-7
enemy_vision_pings_pm,NA BRONZE,local_change,0.06610702617341624,0.02618149263733077,0.1049924559588094,0.02021790903882305,local_change_nine_signals,-2.9679793419213274,-0.8676087968037645,1.0765164191e-3,1.3564106880e-1
enemy_vision_pings_pm,NA SILVER,local_change,-0.05137187824266903,-0.10147868353506045,-0.0053864838380183865,0.02494296854321538,local_change_nine_signals,-1.4040705035301075,0.0,3.9439327093e-2,1.0000000000e+0
enemy_vision_pings_pm,NA GOLD,local_change,-0.029788835326872265,-0.0817690581765761,0.025169298315729213,0.028969096220138688,local_change_nine_signals,-0.5173977462836347,0.0,3.0381013223e-1,1.0000000000e+0
enemy_vision_pings_pm,NA PLATINUM,local_change,0.030919604063047723,-0.03251330230541925,0.09467588532212229,0.03249058950611655,local_change_nine_signals,-0.4668948417182898,0.0,3.4127553667e-1,1.0000000000e+0
enemy_vision_pings_pm,NA EMERALD,local_change,-0.028190018503007064,-0.10368449685837179,0.04741083959489097,0.037096797114461996,local_change_nine_signals,-0.3493896984165119,0.0,4.4731174506e-1,1.0000000000e+0
enemy_vision_pings_pm,EUW Diamond-Iron,endpoint,1.040675530399668,1.0014028953183056,1.0798679618560065,0.020807010104668112,endpoint_nine_signals,-545.0046989224595,-543.6429710864419,9.8923865328e-546,2.2752489025e-544
enemy_vision_pings_pm,EUW BRONZE-IRON,adjacent,0.14165534559111176,0.12257039154132274,0.161883500777379,0.01058589233886803,adjacent_nine_signals,-40.110453877592455,-37.934362618536774,7.7543629092e-41,1.1631544364e-38
enemy_vision_pings_pm,EUW SILVER-BRONZE,adjacent,0.23106951114665247,0.20076420321159139,0.257718919346194,0.014377793160246611,adjacent_nine_signals,-57.39186313060819,-55.2015314324379,4.0563635299e-58,6.2873634714e-56
enemy_vision_pings_pm,EUW GOLD-SILVER,adjacent,0.17660327247884455,0.1416804499166285,0.21324012751197863,0.018305103787578283,adjacent_nine_signals,-21.29894610366082,-19.162225536504415,5.0240493456e-22,6.8829476035e-20
enemy_vision_pings_pm,EUW PLATINUM-GOLD,adjacent,0.1281103175408722,0.0845943091477929,0.16950989481040504,0.021342232620665477,adjacent_nine_signals,-8.711969245299047,-6.690779946229108,1.9410233269e-9,2.0380744933e-7
enemy_vision_pings_pm,EUW EMERALD-PLATINUM,adjacent,0.14732466076207162,0.10253262801811258,0.1918435790836338,0.02270354810782248,adjacent_nine_signals,-10.063615958336154,-8.006711106999681,8.6374200738e-11,9.8466588841e-9
enemy_vision_pings_pm,EUW DIAMOND-EMERALD,adjacent,0.21591242288011547,0.1683302607399062,0.26267560433963366,0.025319891096951864,adjacent_nine_signals,-16.82479302154214,-14.707521725886373,1.4969489103e-17,1.9610030725e-15
enemy_vision_pings_pm,EUW BRONZE,local_change,0.08941416555554071,0.04537501291159379,0.12761533426888574,0.021458977143279396,local_change_nine_signals,-4.510077007221998,-2.3928057115662336,3.0897475233e-5,4.0475692555e-3
enemy_vision_pings_pm,EUW SILVER,local_change,-0.054466238667807976,-0.11021895072896905,0.003914474056790927,0.028490423763740603,local_change_nine_signals,-1.252512453752606,0.0,5.5909749476e-2,1.0000000000e+0
