region,measure,score,count,density,bandwidth,bin_width
NA,overall,-0.9178051665364992,14,0.09699426276601127,0.05591942132945575,0.0030195053268233796
NA,overall,-0.9147856612096756,16,0.0991827727849424,0.05591942132945575,0.0030195053268233796
NA,overall,-0.9117661558828523,7,0.1014028126624644,0.05591942132945575,0.0030195053268233796
NA,overall,-0.9087466505560287,12,0.10365431045250116,0.05591942132945575,0.0030195053268233796
NA,overall,-0.9057271452292053,15,0.10593851679004501,0.05591942132945575,0.0030195053268233796
NA,overall,-0.9027076399023819,18,0.10825538521928049,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8996881345755583,14,0.11060672607406263,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8966686292487349,15,0.1129932034330906,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8936491239219113,16,0.11541504421001654,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8906296185950879,15,0.11787503133683427,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8876101132682643,20,0.12037353160867623,0.05591942132945575,0.0030195053268233796
NA,overall,-0.884590607941441,12,0.12291323790083224,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8815711026146176,15,0.12549391777999352,0.05591942132945575,0.0030195053268233796
NA,overall,-0.878551597287794,11,0.12811993240684819,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8755320919609706,20,0.1307920902714738,0.05591942132945575,0.0030195053268233796
NA,overall,-0.872512586634147,19,0.13351158223627102,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8694930813073236,10,0.13628202164006886,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8664735759805,22,0.13910440097378002,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8634540706536766,19,0.1419809505091327,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8604345653268533,10,0.1449138718281894,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8574150600000296,16,0.14790516692388803,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8543955546732063,9,0.1509563935844904,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8513760493463827,22,0.15407017742370488,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8483565440195593,16,0.15724781606886346,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8453370386927357,18,0.16049114411826243,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8423175333659123,23,0.1638014170203477,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8392980280390888,19,0.16717987591065803,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8362785227122653,18,0.17062821766441658,0.05591942132945575,0.0030195053268233796
NA,overall,-0.833259017385442,21,0.1741450924376003,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8302395120586183,32,0.17773404201036305,0.05591942132945575,0.0030195053268233796
NA,overall,-0.827220006731795,22,0.18139282965878745,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8242005014049714,13,0.18512348842265458,0.05591942132945575,0.0030195053268233796
NA,overall,-0.821180996078148,26,0.1889248476794593,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8181614907513245,24,0.19279576136544438,0.05591942132945575,0.0030195053268233796
NA,overall,-0.815141985424501,18,0.19673635201254208,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8121224800976776,19,0.200745890994288,0.05591942132945575,0.0030195053268233796
NA,overall,-0.809102974770854,20,0.20482332859967142,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8060834694440306,22,0.20896710476207905,0.05591942132945575,0.0030195053268233796
NA,overall,-0.803063964117207,20,0.21317580644167983,0.05591942132945575,0.0030195053268233796
NA,overall,-0.8000444587903837,27,0.21744762215888153,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7970249534635602,24,0.22177919247828196,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7940054481367367,24,0.22616984965402687,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7909859428099133,39,0.23061731214528272,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7879664374830897,26,0.2351190260631068,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7849469321562663,19,0.2396726301164191,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7819274268294427,34,0.24427611052421896,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7789079215026193,35,0.24892544344623294,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7758884161757957,34,0.2536196174642429,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7728689108489724,35,0.25835594294807157,0.05591942132945575,0.0030195053268233796
NA,overall,-0.769849405522149,40,0.2631323347140654,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7668299001953254,33,0.26794729007260215,0.05591942132945575,0.0030195053268233796
NA,overall,-0.763810394868502,32,0.2727967413548209,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7607908895416784,35,0.27767928008542353,0.05591942132945575,0.0030195053268233796
NA,overall,-0.757771384214855,40,0.2825923895218828,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7547518788880314,52,0.2875363857767244,0.05591942132945575,0.0030195053268233796
NA,overall,-0.751732373561208,33,0.2925072305966613,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7487128682343847,31,0.2975052544361106,0.05591942132945575,0.0030195053268233796
NA,overall,-0.745693362907561,40,0.3025282027187276,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7426738575807377,29,0.30757678611905864,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7396543522539141,42,0.3126486486412519,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7366348469270907,36,0.3177419473892427,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7336153416002671,32,0.322858610603032,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7305958362734437,39,0.32799744449604595,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7275763309466203,54,0.3331602696679892,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7245568256197967,35,0.33834691148891965,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7215373202929733,44,0.34355562627333575,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7185178149661497,46,0.3487882388489481,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7154983096393264,56,0.3540461192205758,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7124788043125028,43,0.3593317171248493,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7094592989856794,42,0.36464463018603543,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7064397936588559,55,0.3699858300439166,0.05591942132945575,0.0030195053268233796
NA,overall,-0.7034202883320324,33,0.375358153580578,0.05591942132945575,0.0030195053268233796
NA,overall,-0.700400783005209,49,0.38076434037532597,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6973812776783854,56,0.3862045340042384,0.05591942132945575,0.0030195053268233796
NA,overall,-0.694361772351562,47,0.3916812668364833,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6913422670247384,55,0.3971968828327976,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6883227616979151,52,0.4027538101714265,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6853032563710916,47,0.40835354575669625,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6822837510442681,55,0.4139998161292018,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6792642457174447,45,0.4196925117014258,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6762447403906211,55,0.4254365772900988,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6732252350637977,58,0.4312323817842238,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6702057297369741,44,0.4370838865377485,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6671862244101507,60,0.44299187504163035,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6641667190833273,51,0.448958650708579,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6611472137565038,63,0.4549866801625428,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6581277084296804,42,0.46107867495176674,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6551082031028568,64,0.4672353544589781,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6520886977760334,66,0.4734588171752361,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6490691924492098,54,0.4797493113109718,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6460496871223864,68,0.48611027210318447,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6430301817955629,63,0.4925416895989216,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6400106764687394,58,0.49904451527721044,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6369911711419161,61,0.5056198363440958,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6339716658150925,62,0.5122671271294679,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6309521604882691,56,0.518987082163052,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6279326551614455,64,0.5257793092591598,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6249131498346221,64,0.5326426391251102,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6218936445077985,66,0.5395797272783889,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6188741391809751,67,0.5465856144668425,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6158546338541517,69,0.5536608393853778,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6128351285273281,79,0.5608053735946616,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6098156232005048,55,0.5680143934119648,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6067961178736812,84,0.5752903399389383,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6037766125468578,63,0.5826263487969623,0.05591942132945575,0.0030195053268233796
NA,overall,-0.6007571072200342,83,0.5900212126973416,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5977376018932108,79,0.5974734753045942,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5947180965663874,66,0.6049799389348384,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5916985912395638,68,0.6125355894910827,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5886790859127404,72,0.6201388874477852,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5856595805859168,82,0.6277862986007373,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5826400752590934,81,0.6354735824166384,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5796205699322698,89,0.6431976179685444,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5766010646054465,92,0.6509533719585954,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5735815592786231,70,0.6587389118894434,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5705620539517995,85,0.6665493299332639,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5675425486249761,86,0.6743819030594935,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5645230432981525,86,0.6822301066078786,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5615035379713291,86,0.6900915996554509,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5584840326445055,93,0.6979626352503958,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5554645273176821,76,0.7058375902702518,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5524450219908587,81,0.7137134380011341,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5494255166640352,90,0.7215856864491059,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5464060113372118,96,0.7294507959665816,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5433865060103882,115,0.7373051958949765,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5403670006835648,100,0.745143994354361,0.05591942132945575,0.0030195053268233796
NA,overall,-0.5373474953567412,99,0.7529653883789156,0.05591942132945575,0.0030195053268233796
