region,display_region,maintenance_difference_sd,model_predictor_z,probability,ci_low,ci_high,se,n_model_matches,n_reference_matches,method,specification
NA1,NA,0.25,0.2923910534060775,0.4957530376992186,0.4946101288922435,0.4968959465061937,0.0005831167382526007,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.30000000000000027,0.3423910534060778,0.4967008613376978,0.49554206163667613,0.4978596610387195,0.0005912243372559584,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.3500000000000001,0.3923910534060776,0.49764870465505207,0.49647175038104047,0.49882565892906366,0.0006004868744957028,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.40000000000000036,0.44239105340607787,0.498596561447278,0.49739929233068825,0.4997938305638677,0.0006108515900967997,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.4500000000000002,0.4923910534060777,0.4995444255101324,0.49832478984314615,0.5007640611771187,0.0006222630954011529,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.5,0.5423910534060775,0.500492290639256,0.4992483481716709,0.5017362331068412,0.0006346645242781406,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.5500000000000003,0.5923910534060778,0.501440150630329,0.5001700734601155,0.5027102278005424,0.0006479985562313195,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.6000000000000001,0.6423910534060776,0.5023879992792056,0.5010900710291759,0.5036859275292354,0.0006622082908315114,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.6500000000000004,0.6923910534060779,0.5033358303820689,0.5020084439681172,0.5046632167960206,0.0006772379663018816,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.7000000000000002,0.7423910534060777,0.5042836377355573,0.5029252920257669,0.5056419834453477,0.0006930335254032584,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.75,0.7923910534060775,0.5052314151369367,0.5038407107790958,0.5066221194947776,0.0007095430397147705,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.8000000000000003,0.8423910534060778,0.5061791563842123,0.5047547910488346,0.50760352171959,0.0007267170078457889,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.8500000000000001,0.8923910534060776,0.5071268552762853,0.5056676185271876,0.5085860920253831,0.0007445085454580474,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.9000000000000004,0.9423910534060779,0.5080745056131172,0.5065792735815227,0.5095697376447117,0.0007628734855074325,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.9500000000000002,0.9923910534060777,0.5090221011958306,0.507489831199431,0.5105543711922301,0.0007817704063262795,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.0,1.0423910534060774,0.5099696358269005,0.5083993610439378,0.5115399106098631,0.0008011606035523711,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.0500000000000003,1.0923910534060777,0.5109171033102498,0.5093079275914921,0.5125262790290074,0.0008210080197743002,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.1,1.1423910534060775,0.5118644974514386,0.510215590329442,0.5135134045734352,0.000841279143875796,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.1500000000000004,1.1923910534060778,0.5128118120577733,0.511122403993896,0.5145012201216506,0.0008619428897333356,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.2000000000000002,1.2423910534060776,0.5137590409384697,0.5120284188328146,0.5154896630441248,0.000882970462068919,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.25,1.2923910534060774,0.5147061779047848,0.5129336808820547,0.5164786749275149,0.0009043352156786292,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.3000000000000003,1.3423910534060777,0.5156532167701672,0.5138382322455667,0.5174682012947677,0.0009260125125512999,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.35,1.3923910534060775,0.5166001513503995,0.5147421113725308,0.5184581913282682,0.0009479795805452382,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.4000000000000004,1.4423910534060778,0.5175469754637329,0.5156453533268509,0.5194485976006148,0.0009702153759601669,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.4500000000000002,1.4923910534060776,0.5184936829310389,0.5165479900454756,0.5204393758166023,0.0009927004518180441,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.5,1.5423910534060774,0.5194402675759576,0.5174500505834299,0.5214304845684854,0.001015416832922304,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.5500000000000003,1.5923910534060777,0.5203867232250181,0.5183515613441865,0.5224218851058497,0.0010383478983835089,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.6,1.6423910534060775,0.5213330437078082,0.5192525462950207,0.5234135411205957,0.0010614782718303645,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.6500000000000004,1.6923910534060778,0.5222792228570925,0.5201530271669166,0.5244054185472684,0.0010847937194774888,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.7000000000000002,1.7423910534060776,0.5232252545089695,0.5210530236395965,0.5253974853783425,0.0011082810558025737,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.75,1.7923910534060774,0.5241711325030194,0.5219525535121646,0.5263897114938741,0.0011319280565585239,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.8000000000000003,1.8423910534060777,0.5251168506824243,0.5228516328598543,0.5273820685049944,0.0011557233788622538,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.85,1.8923910534060775,0.5260624028941225,0.5237502761779936,0.5283745296102514,0.001179656487820873,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.9000000000000004,1.9423910534060778,0.5270077829889569,0.5246484965136862,0.5293670694642276,0.0012037175894238207,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,1.9500000000000002,1.9923910534060776,0.5279529848218036,0.5255463055863774,0.5303596640572299,0.001227897569095033,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,2.0,2.0423910534060776,0.5288980022517173,0.5264437138979522,0.5313522906054825,0.0012521879355944828,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-2.0,-1.9576089465939226,0.44853878677978615,0.44623341006617157,0.45084416349340073,0.001176212608987037,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.95,-1.9076089465939225,0.4495430460754281,0.4472833208406231,0.4518027713102331,0.001152921038165806,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.9,-1.8576089465939225,0.45054767812806873,0.44833339193234834,0.4527619643237891,0.0011297378549593904,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.85,-1.8076089465939227,0.4515526755845833,0.44938359782731685,0.4537217533418497,0.0011066723251359335,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.8,-1.7576089465939226,0.452558031082317,0.450433911631416,0.45468215053321803,0.0010837344137250083,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.75,-1.7076089465939226,0.4535637372492829,0.45148430494483205,0.45564316955373374,0.0010609348492096069,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.7,-1.6576089465939225,0.454569786704339,0.4525347477246249,0.45660482568405314,0.0010382851937317035,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.65,-1.6076089465939225,0.45557617205737866,0.45358520813443104,0.4575671359803263,0.0010157979198712375,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.6,-1.5576089465939227,0.45658288590953383,0.4546356523803154,0.45853011943875227,0.0009934864944991953,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.55,-1.5076089465939226,0.4575899208533607,0.455686044532203,0.4594937971745184,0.0009713654699784139,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
