region,left,right,mid,count,fraction_of_region,n_matches
NA1,0.050000000000000266,0.10000000000000009,0.07500000000000018,10983,0.01565323725422009,701644
NA1,0.10000000000000009,0.1499999999999999,0.125,13050,0.018599175650329796,701644
NA1,0.1499999999999999,0.20000000000000018,0.17500000000000004,15923,0.022693844741777883,701644
NA1,0.20000000000000018,0.25,0.2250000000000001,12275,0.017494626904812127,701644
NA1,0.25,0.30000000000000027,0.27500000000000013,12055,0.017181077583503884,701644
NA1,0.30000000000000027,0.3500000000000001,0.3250000000000002,14150,0.020166922256871007,701644
NA1,0.3500000000000001,0.40000000000000036,0.3750000000000002,11354,0.016181995427880805,701644
NA1,0.40000000000000036,0.4500000000000002,0.42500000000000027,12504,0.01782100324381025,701644
NA1,0.4500000000000002,0.5,0.4750000000000001,11266,0.01605657569935751,701644
NA1,0.5,0.5500000000000003,0.5250000000000001,9425,0.013432737969682631,701644
NA1,0.5500000000000003,0.6000000000000001,0.5750000000000002,14655,0.020886660471692197,701644
NA1,0.6000000000000001,0.6500000000000004,0.6250000000000002,9510,0.013553882025642634,701644
NA1,0.6500000000000004,0.7000000000000002,0.6750000000000003,9505,0.01354675590470381,701644
NA1,0.7000000000000002,0.75,0.7250000000000001,12782,0.018217215568008847,701644
NA1,0.75,0.8000000000000003,0.7750000000000001,9110,0.01298379235053674,701644
NA1,0.8000000000000003,0.8500000000000001,0.8250000000000002,8422,0.012003238109354601,701644
NA1,0.8500000000000001,0.9000000000000004,0.8750000000000002,10046,0.014317802190284532,701644
NA1,0.9000000000000004,0.9500000000000002,0.9250000000000003,8883,0.012660266459914145,701644
NA1,0.9500000000000002,1.0,0.9750000000000001,7657,0.010912941605714578,701644
NA1,1.0,1.0500000000000003,1.0250000000000001,7925,0.011294901688035527,701644
NA1,1.0500000000000003,1.1,1.0750000000000002,7942,0.01131913049922753,701644
NA1,1.1,1.1500000000000004,1.1250000000000002,7458,0.010629321992349396,701644
NA1,1.1500000000000004,1.2000000000000002,1.1750000000000003,6234,0.00888484758652536,701644
NA1,1.2000000000000002,1.25,1.225,6327,0.00901739343598748,701644
NA1,1.25,1.3000000000000003,1.2750000000000001,5893,0.008398846138497586,701644
NA1,1.3000000000000003,1.35,1.3250000000000002,6223,0.008869170120459948,701644
NA1,1.35,1.4000000000000004,1.3750000000000002,4865,0.006933715673475438,701644
NA1,1.4000000000000004,1.4500000000000002,1.4250000000000003,4670,0.006655796956861314,701644
NA1,1.4500000000000002,1.5,1.475,5320,0.007582192678908392,701644
NA1,1.5,1.5500000000000003,1.5250000000000001,4105,0.005850545290774238,701644
NA1,1.5500000000000003,1.6,1.5750000000000002,3800,0.005415851913505994,701644
NA1,1.6,1.6500000000000004,1.6250000000000002,3980,0.005672392267303647,701644
NA1,1.6500000000000004,1.7000000000000002,1.6750000000000003,3093,0.004408218412756327,701644
NA1,1.7000000000000002,1.75,1.725,3402,0.00484861268677563,701644
NA1,1.75,1.8000000000000003,1.7750000000000001,2832,0.004036234899749731,701644
NA1,1.8000000000000003,1.85,1.8250000000000002,2575,0.0036699522834941936,701644
NA1,1.85,1.9000000000000004,1.8750000000000002,2532,0.00360866764342031,701644
NA1,1.9000000000000004,1.9500000000000002,1.9250000000000003,2464,0.003511752398652308,701644
NA1,1.9500000000000002,2.0,1.975,2079,0.0029630410863628848,701644
EUW1,-2.0,-1.95,-1.975,2565,0.0033988275701231792,754672
EUW1,-1.95,-1.9,-1.9249999999999998,2907,0.0038520045794729367,754672
EUW1,-1.9,-1.85,-1.875,3148,0.004171348612377297,754672
EUW1,-1.85,-1.8,-1.8250000000000002,3153,0.004177974007250832,754672
EUW1,-1.8,-1.75,-1.775,3463,0.004588748489409968,754672
EUW1,-1.75,-1.7,-1.725,4035,0.005346693662942312,754672
EUW1,-1.7,-1.65,-1.6749999999999998,3736,0.0049504950495049506,754672
EUW1,-1.65,-1.6,-1.625,4878,0.006463735238620222,754672
EUW1,-1.6,-1.55,-1.5750000000000002,4445,0.0058899760425721375,754672
EUW1,-1.55,-1.5,-1.525,4835,0.006406756842707825,754672
EUW1,-1.5,-1.45,-1.475,6480,0.008586511756100663,754672
EUW1,-1.45,-1.4,-1.4249999999999998,5682,0.007529098734284563,754672
EUW1,-1.4,-1.35,-1.375,5714,0.007571501261475184,754672
EUW1,-1.35,-1.2999999999999998,-1.325,7473,0.009902315177984608,754672
EUW1,-1.2999999999999998,-1.25,-1.275,7043,0.009332531218860645,754672
EUW1,-1.25,-1.2,-1.225,7349,0.009738005385120953,754672
EUW1,-1.2,-1.15,-1.1749999999999998,7334,0.00971812920050035,754672
EUW1,-1.15,-1.1,-1.125,8808,0.01167129560921831,754672
