measure,contrast,percentile,quantile_region_A,quantile_region_B,quantile_difference,uncertainty
signalling,KR-NA,90,1.0647628757080518,0.8011069630230773,0.2636559126849745,descriptive; no pointwise inference
signalling,KR-NA,91,1.1270997798782674,0.8705672453457436,0.2565325345325238,descriptive; no pointwise inference
signalling,KR-NA,92,1.196481096747814,0.9486921442644112,0.247788952483403,descriptive; no pointwise inference
signalling,KR-NA,93,1.2733150526979071,1.027833325904709,0.2454817267931981,descriptive; no pointwise inference
signalling,KR-NA,94,1.3669488882143352,1.1318263142309128,0.2351225739834224,descriptive; no pointwise inference
signalling,KR-NA,95,1.4718262394725212,1.2583657958689396,0.2134604436035816,descriptive; no pointwise inference
signalling,KR-NA,96,1.6026991855860764,1.412094402553278,0.1906047830327983,descriptive; no pointwise inference
signalling,KR-NA,97,1.7757462211864643,1.6028903573438058,0.1728558638426585,descriptive; no pointwise inference
signalling,KR-NA,98,2.006423286994636,1.882322756952275,0.1241005300423609,descriptive; no pointwise inference
signalling,KR-NA,99,2.3984184912435524,2.3141782700213764,0.084240221222176,descriptive; no pointwise inference
