measure,contrast,percentile,quantile_region_A,quantile_region_B,quantile_difference,uncertainty
maintenance,KR-NA,1,-0.654452479461141,-1.1098263355169609,0.4553738560558198,descriptive; no pointwise inference
maintenance,KR-NA,56,0.2320317281411579,-0.1223509286253654,0.3543826567665233,descriptive; no pointwise inference
maintenance,KR-NA,57,0.2432526501935292,-0.1130814293810484,0.3563340795745776,descriptive; no pointwise inference
maintenance,KR-NA,58,0.2536281695609139,-0.1038508029247913,0.3574789724857053,descriptive; no pointwise inference
maintenance,KR-NA,59,0.2643120345247359,-0.0953440376837433,0.3596560722084793,descriptive; no pointwise inference
maintenance,KR-NA,60,0.2753546009488648,-0.0864996936863382,0.3618542946352031,descriptive; no pointwise inference
maintenance,KR-NA,61,0.286843758920543,-0.0771691363837455,0.3640128953042885,descriptive; no pointwise inference
maintenance,KR-NA,62,0.2984055999412321,-0.068369360446328,0.3667749603875602,descriptive; no pointwise inference
maintenance,KR-NA,63,0.3105143191990145,-0.0590529797785118,0.3695672989775264,descriptive; no pointwise inference
maintenance,KR-NA,64,0.3220729779934918,-0.0493716017962069,0.3714445797896988,descriptive; no pointwise inference
maintenance,KR-NA,65,0.3341891849373686,-0.0401535627836449,0.3743427477210135,descriptive; no pointwise inference
maintenance,KR-NA,66,0.3464249483061167,-0.0297489537589152,0.376173902065032,descriptive; no pointwise inference
maintenance,KR-NA,67,0.3596766233555244,-0.0196145087155441,0.3792911320710685,descriptive; no pointwise inference
maintenance,KR-NA,68,0.3720481828890244,-0.0084323115656879,0.3804804944547124,descriptive; no pointwise inference
maintenance,KR-NA,69,0.3858186577130551,0.0020497894601879,0.3837688682528671,descriptive; no pointwise inference
maintenance,KR-NA,70,0.4002113878137575,0.0134722914062876,0.3867390964074698,descriptive; no pointwise inference
maintenance,KR-NA,71,0.414710940661434,0.0244594166943053,0.3902515239671286,descriptive; no pointwise inference
maintenance,KR-NA,72,0.4275042821914058,0.036249764059152,0.3912545181322538,descriptive; no pointwise inference
maintenance,KR-NA,73,0.4418296351297176,0.0477070715423832,0.3941225635873343,descriptive; no pointwise inference
maintenance,KR-NA,74,0.4581795619942369,0.0598715283334817,0.398308033660755,descriptive; no pointwise inference
maintenance,KR-NA,75,0.4732881064150436,0.0716722426793017,0.4016158637357418,descriptive; no pointwise inference
maintenance,KR-NA,76,0.4889251411277731,0.0844442780530691,0.404480863074704,descriptive; no pointwise inference
maintenance,KR-NA,77,0.5070874909741472,0.0974242408275315,0.4096632501466157,descriptive; no pointwise inference
maintenance,KR-NA,78,0.5244543364640771,0.1119020725524575,0.4125522639116195,descriptive; no pointwise inference
maintenance,KR-NA,79,0.5425831076485801,0.1267171969458009,0.4158659107027791,descriptive; no pointwise inference
maintenance,KR-NA,80,0.5607890645274065,0.1407310846130679,0.4200579799143386,descriptive; no pointwise inference
maintenance,KR-NA,81,0.5806987868579969,0.1559058695001863,0.4247929173578106,descriptive; no pointwise inference
maintenance,KR-NA,82,0.602044490727419,0.1713482886622277,0.4306962020651912,descriptive; no pointwise inference
maintenance,KR-NA,83,0.6221216174980335,0.1865197195639344,0.435601897934099,descriptive; no pointwise inference
maintenance,KR-NA,84,0.643933884935687,0.2032994811986156,0.4406344037370714,descriptive; no pointwise inference
maintenance,KR-NA,85,0.6687913279923536,0.2224148013092936,0.44637652668306,descriptive; no pointwise inference
maintenance,KR-NA,86,0.6948482429943348,0.2424454712174067,0.4524027717769281,descriptive; no pointwise inference
maintenance,KR-NA,87,0.7217594354490553,0.2660517826620779,0.4557076527869774,descriptive; no pointwise inference
maintenance,KR-NA,88,0.7507994408667605,0.288525824613106,0.4622736162536545,descriptive; no pointwise inference
maintenance,KR-NA,89,0.7806586610277618,0.3115731391117969,0.4690855219159648,descriptive; no pointwise inference
maintenance,KR-NA,90,0.8174983699705443,0.339238330068442,0.4782600399021022,descriptive; no pointwise inference
maintenance,KR-NA,91,0.8539312048130253,0.3709756043095647,0.4829556005034606,descriptive; no pointwise inference
maintenance,KR-NA,92,0.8917469312006986,0.4049945202601891,0.4867524109405095,descriptive; no pointwise inference
maintenance,KR-NA,93,0.9385222441688772,0.4459586965321864,0.4925635476366908,descriptive; no pointwise inference
maintenance,KR-NA,94,0.989784381185286,0.4916821698369596,0.4981022113483265,descriptive; no pointwise inference
maintenance,KR-NA,95,1.0479142489234956,0.5429298317104095,0.5049844172130861,descriptive; no pointwise inference
maintenance,KR-NA,96,1.1171498848804828,0.6159097256776486,0.5012401592028343,descriptive; no pointwise inference
maintenance,KR-NA,97,1.2028696711517917,0.7008912350072217,0.5019784361445699,descriptive; no pointwise inference
maintenance,KR-NA,98,1.3158040595301737,0.8258295594485359,0.4899745000816378,descriptive; no pointwise inference
maintenance,KR-NA,99,1.5060297065568675,1.0409687089336537,0.4650609976232143,descriptive; no pointwise inference
signalling,KR-NA,1,-1.019342841818026,-1.1749559317009026,0.1556130898828767,descriptive; no pointwise inference
signalling,KR-NA,2,-0.92285201216717,-1.0871981302191331,0.1643461180519632,descriptive; no pointwise inference
signalling,KR-NA,3,-0.862632527126072,-1.0275796256656673,0.1649470985395953,descriptive; no pointwise inference
signalling,KR-NA,4,-0.8112702500429039,-0.9835919557657364,0.1723217057228324,descriptive; no pointwise inference
signalling,KR-NA,5,-0.776518752755824,-0.943670668263026,0.1671519155072021,descriptive; no pointwise inference
signalling,KR-NA,6,-0.7420463505875138,-0.913430043350855,0.1713836927633412,descriptive; no pointwise inference
signalling,KR-NA,7,-0.7124603559673486,-0.8867153926342614,0.1742550366669127,descriptive; no pointwise inference
signalling,KR-NA,8,-0.6875206869316005,-0.8611076475784619,0.1735869606468614,descriptive; no pointwise inference
signalling,KR-NA,9,-0.6611032730956246,-0.8384628631880047,0.1773595900923801,descriptive; no pointwise inference
