measure,region,score,frequency,cumulative_count,n_players,cumulative_fraction
overall,NA,-0.9761920449645588,1,282,42000,0.0067142857142857143
overall,NA,-0.9759798239691824,1,283,42000,0.0067380952380952383
overall,NA,-0.9756241904088828,1,284,42000,0.0067619047619047615
overall,NA,-0.9753196994380156,1,285,42000,0.0067857142857142855
overall,NA,-0.9750375446950156,1,286,42000,0.0068095238095238096
overall,NA,-0.9750115180632412,1,287,42000,0.0068333333333333336
overall,NA,-0.9749348166687272,1,288,42000,0.0068571428571428568
overall,NA,-0.9747085355544184,1,289,42000,0.0068809523809523808
overall,NA,-0.9739411709786032,1,290,42000,0.0069047619047619049
overall,NA,-0.9737621659547472,1,291,42000,0.0069285714285714289
overall,NA,-0.973018752502621,1,292,42000,0.0069523809523809521
overall,NA,-0.9724449192655976,1,293,42000,0.0069761904761904761
overall,NA,-0.9722947338607644,1,294,42000,0.0070000000000000001
overall,NA,-0.9721917324824962,1,295,42000,0.0070238095238095242
overall,NA,-0.9721716422688064,1,296,42000,0.0070476190476190474
overall,NA,-0.9714919480975158,1,297,42000,0.0070714285714285714
overall,NA,-0.9713756216423172,1,298,42000,0.0070952380952380954
overall,NA,-0.9711621964161248,1,299,42000,0.0071190476190476195
overall,NA,-0.9711487836762696,1,300,42000,0.0071428571428571426
overall,NA,-0.9699907194350632,1,301,42000,0.0071666666666666667
overall,NA,-0.96951008272727,1,302,42000,0.0071904761904761907
overall,NA,-0.968640659122502,1,303,42000,0.0072142857142857139
overall,NA,-0.9685245205282156,1,304,42000,0.0072380952380952379
overall,NA,-0.9677319888672606,1,305,42000,0.007261904761904762
overall,NA,-0.9676114091873368,1,306,42000,0.007285714285714286
overall,NA,-0.9670314731721982,1,307,42000,0.0073095238095238092
overall,NA,-0.966419565224647,1,308,42000,0.0073333333333333332
overall,NA,-0.9663302562486242,1,309,42000,0.0073571428571428572
overall,NA,-0.965765627431331,1,310,42000,0.0073809523809523813
overall,NA,-0.964993326726702,1,311,42000,0.0074047619047619044
overall,NA,-0.964213688025544,1,312,42000,0.0074285714285714285
overall,NA,-0.9634599404285892,1,313,42000,0.0074523809523809525
overall,NA,-0.963060043815534,1,314,42000,0.0074761904761904766
overall,NA,-0.963014859049118,1,315,42000,0.0074999999999999997
overall,NA,-0.9620701446267812,1,316,42000,0.0075238095238095238
overall,NA,-0.9615662072874704,1,317,42000,0.0075476190476190478
overall,NA,-0.9611439031299892,1,318,42000,0.0075714285714285718
overall,NA,-0.9611323625628776,1,319,42000,0.007595238095238095
overall,NA,-0.9608535954060504,1,320,42000,0.007619047619047619
overall,NA,-0.9603950187437348,1,321,42000,0.0076428571428571431
overall,NA,-0.9597380589993204,1,322,42000,0.0076666666666666662
overall,NA,-0.959237541122625,1,323,42000,0.0076904761904761903
overall,NA,-0.9591676234877192,1,324,42000,0.0077142857142857143
overall,NA,-0.9586805072833784,1,325,42000,0.0077380952380952384
overall,NA,-0.958472265284208,1,326,42000,0.0077619047619047615
overall,NA,-0.9582016003061188,1,327,42000,0.0077857142857142856
overall,NA,-0.9579654987051468,1,328,42000,0.0078095238095238096
overall,NA,-0.9568543829229216,1,329,42000,0.0078333333333333328
overall,NA,-0.9561470709817036,1,330,42000,0.0078571428571428577
overall,NA,-0.9558454163875458,1,331,42000,0.0078809523809523808
overall,NA,-0.9558049184219514,1,332,42000,0.007904761904761904
overall,NA,-0.955737280349184,1,333,42000,0.0079285714285714289
overall,NA,-0.9550578121196764,1,334,42000,0.0079523809523809521
