measure,region,score,frequency,cumulative_count,n_players,cumulative_fraction
signalling,NA,-1.30250628976337,1,140,42000,0.0033333333333333335
signalling,NA,-1.3024094330306697,1,141,42000,0.0033571428571428572
signalling,NA,-1.3022287376774575,1,142,42000,0.0033809523809523808
signalling,NA,-1.3020262777266491,1,143,42000,0.0034047619047619048
signalling,NA,-1.301214492420405,1,144,42000,0.0034285714285714284
signalling,NA,-1.30063065845598,1,145,42000,0.0034523809523809524
signalling,NA,-1.2989006179186733,1,146,42000,0.003476190476190476
signalling,NA,-1.2974736681552306,1,147,42000,0.0035000000000000001
signalling,NA,-1.2974366773570334,1,148,42000,0.0035238095238095237
signalling,NA,-1.2961834950234157,1,149,42000,0.0035476190476190477
signalling,NA,-1.2961407171261603,1,150,42000,0.0035714285714285713
signalling,NA,-1.2961186890438334,1,151,42000,0.0035952380952380954
signalling,NA,-1.295926030200819,1,152,42000,0.003619047619047619
signalling,NA,-1.294020676684802,1,153,42000,0.003642857142857143
signalling,NA,-1.2929076061965887,1,154,42000,0.0036666666666666666
signalling,NA,-1.2921830551323643,1,155,42000,0.0036904761904761906
signalling,NA,-1.2910695500135,1,156,42000,0.0037142857142857142
signalling,NA,-1.2901749264292797,1,157,42000,0.0037380952380952383
signalling,NA,-1.2893009157504125,1,158,42000,0.0037619047619047619
signalling,NA,-1.2889825819734928,1,159,42000,0.0037857142857142859
signalling,NA,-1.2888924124401775,1,160,42000,0.0038095238095238095
signalling,NA,-1.2888258667076469,1,161,42000,0.0038333333333333331
signalling,NA,-1.2887856809823484,1,162,42000,0.0038571428571428572
signalling,NA,-1.2886506046653798,1,163,42000,0.0038809523809523808
signalling,NA,-1.2881146424740166,1,164,42000,0.0039047619047619048
signalling,NA,-1.2879017976228415,1,165,42000,0.0039285714285714288
signalling,NA,-1.287814575409548,1,166,42000,0.003952380952380952
signalling,NA,-1.2874589731890649,1,167,42000,0.003976190476190476
signalling,NA,-1.2852634438621249,1,168,42000,0.0040000000000000001
signalling,NA,-1.2852371117804786,1,169,42000,0.0040238095238095241
signalling,NA,-1.2851593111388573,1,170,42000,0.0040476190476190473
signalling,NA,-1.2849622278166213,1,171,42000,0.0040714285714285713
signalling,NA,-1.284695305670407,1,172,42000,0.0040952380952380954
signalling,NA,-1.2846101980231843,1,173,42000,0.0041190476190476194
signalling,NA,-1.28436327680359,1,174,42000,0.0041428571428571426
signalling,NA,-1.2838924415278556,1,175,42000,0.0041666666666666666
signalling,NA,-1.2836321417165215,1,176,42000,0.0041904761904761906
signalling,NA,-1.2803962622541427,1,177,42000,0.0042142857142857147
signalling,NA,-1.280253526261906,1,178,42000,0.0042380952380952379
signalling,NA,-1.2796171757515389,1,179,42000,0.0042619047619047619
signalling,NA,-1.27929458750714,1,180,42000,0.0042857142857142859
signalling,NA,-1.2792321572120298,1,181,42000,0.0043095238095238091
signalling,NA,-1.2784653943623248,1,182,42000,0.0043333333333333331
signalling,NA,-1.2782525542234937,1,183,42000,0.0043571428571428572
signalling,NA,-1.277728745352356,1,184,42000,0.0043809523809523812
signalling,NA,-1.2770894606475955,1,185,42000,0.0044047619047619044
signalling,NA,-1.2767673900197194,1,186,42000,0.0044285714285714284
signalling,NA,-1.2757235653163108,1,187,42000,0.0044523809523809525
signalling,NA,-1.275007443894804,1,188,42000,0.0044761904761904765
signalling,NA,-1.2749947484419049,1,189,42000,0.0044999999999999997
signalling,NA,-1.2748921401394833,1,190,42000,0.0045238095238095237
signalling,NA,-1.2748763414984612,1,191,42000,0.0045476190476190477
signalling,NA,-1.2744210243191163,1,192,42000,0.0045714285714285718
signalling,NA,-1.2719997089492268,1,193,42000,0.0045952380952380949
signalling,NA,-1.2714377226438318,1,194,42000,0.004619047619047619
signalling,NA,-1.2714278189997137,1,195,42000,0.004642857142857143
signalling,NA,-1.2711156368695795,1,196,42000,0.0046666666666666671
signalling,NA,-1.2710875827671275,1,197,42000,0.0046904761904761902
signalling,NA,-1.2705461681209915,1,198,42000,0.0047142857142857143
signalling,NA,-1.2681264222858706,1,199,42000,0.0047380952380952383
signalling,NA,-1.2671141548265814,1,200,42000,0.0047619047619047623
signalling,NA,-1.2663435826473253,1,201,42000,0.0047857142857142855
signalling,NA,-1.2648243507450192,1,202,42000,0.0048095238095238095
signalling,NA,-1.2639216495838987,1,203,42000,0.0048333333333333336
signalling,NA,-1.263320171052586,1,204,42000,0.0048571428571428567
signalling,NA,-1.262973105633125,1,205,42000,0.0048809523809523808
signalling,NA,-1.2627946549081197,1,206,42000,0.0049047619047619048
signalling,NA,-1.262750748617121,1,207,42000,0.0049285714285714289
signalling,NA,-1.261573750130399,1,208,42000,0.004952380952380952
signalling,NA,-1.2612506798980576,1,209,42000,0.0049761904761904761
signalling,NA,-1.2602354108058462,1,210,42000,0.0050000000000000001
signalling,NA,-1.258917149171501,1,211,42000,0.0050238095238095241
signalling,NA,-1.2585960865735957,1,212,42000,0.0050476190476190473
signalling,NA,-1.2579251673538716,1,213,42000,0.0050714285714285713
signalling,NA,-1.2571410363369773,1,214,42000,0.0050952380952380954
signalling,NA,-1.2571071927277533,1,215,42000,0.0051190476190476194
signalling,NA,-1.2569392252748468,1,216,42000,0.0051428571428571426
signalling,NA,-1.2568868548956005,1,217,42000,0.0051666666666666666
signalling,NA,-1.2568521906148489,1,218,42000,0.0051904761904761907
signalling,NA,-1.254774435720657,1,219,42000,0.0052142857142857147
signalling,NA,-1.2546715274611977,1,220,42000,0.0052380952380952379
signalling,NA,-1.2546520800333785,1,221,42000,0.0052619047619047619
signalling,NA,-1.2546485490396293,1,222,42000,0.0052857142857142859
signalling,NA,-1.2543939020251014,1,223,42000,0.0053095238095238091
signalling,NA,-1.2533706013814438,1,224,42000,0.0053333333333333332
signalling,NA,-1.2533089992430153,1,225,42000,0.0053571428571428572
signalling,NA,-1.25320662149273,1,226,42000,0.0053809523809523812
signalling,NA,-1.2514975503919126,1,227,42000,0.0054047619047619044
signalling,NA,-1.2505097061841417,1,228,42000,0.0054285714285714284
signalling,NA,-1.2498753270386525,1,229,42000,0.0054523809523809525
signalling,NA,-1.248835070525418,1,230,42000,0.0054761904761904765
signalling,NA,-1.2480061648385206,1,231,42000,0.0054999999999999997
signalling,NA,-1.247992249415315,1,232,42000,0.0055238095238095237
signalling,NA,-1.247793130222382,1,233,42000,0.0055476190476190478
signalling,NA,-1.2467242712451008,1,234,42000,0.0055714285714285718
signalling,NA,-1.2465095832991893,1,235,42000,0.005595238095238095
signalling,NA,-1.2463907811228003,1,236,42000,0.005619047619047619
signalling,NA,-1.245058130398632,1,237,42000,0.005642857142857143
signalling,NA,-1.2437807167427184,1,238,42000,0.0056666666666666671
signalling,NA,-1.2425651878603874,1,239,42000,0.0056904761904761902
signalling,NA,-1.2420153595066563,1,240,42000,0.0057142857142857143
signalling,NA,-1.2419774497148122,1,241,42000,0.0057380952380952383
signalling,NA,-1.241861162111268,1,242,42000,0.0057619047619047615
signalling,NA,-1.2414681084780128,1,243,42000,0.0057857142857142855
signalling,NA,-1.2414571241615973,1,244,42000,0.0058095238095238096
signalling,NA,-1.2401993296415357,1,245,42000,0.0058333333333333336
signalling,NA,-1.239883117523895,1,246,42000,0.0058571428571428568
signalling,NA,-1.2379321845263265,1,247,42000,0.0058809523809523808
signalling,NA,-1.2377917870484585,1,248,42000,0.0059047619047619048
signalling,NA,-1.2374854803617783,1,249,42000,0.0059285714285714289
signalling,NA,-1.2367348000410532,1,250,42000,0.0059523809523809521
signalling,NA,-1.2364554075943237,1,251,42000,0.0059761904761904761
signalling,NA,-1.235811493754536,1,252,42000,0.0060000000000000001
signalling,NA,-1.2356615698679727,1,253,42000,0.0060238095238095242
signalling,NA,-1.235559050177791,1,254,42000,0.0060476190476190473
signalling,NA,-1.235194065338036,1,255,42000,0.0060714285714285714
signalling,NA,-1.2349270122774736,1,256,42000,0.0060952380952380954
signalling,NA,-1.234360945155328,1,257,42000,0.0061190476190476194
signalling,NA,-1.2339668693568773,1,258,42000,0.0061428571428571426
signalling,NA,-1.2335427285976373,1,259,42000,0.0061666666666666667
signalling,NA,-1.2335331952138289,1,260,42000,0.0061904761904761907
signalling,NA,-1.233231245814823,1,261,42000,0.0062142857142857139
signalling,NA,-1.2331913130735233,1,262,42000,0.0062380952380952379
signalling,NA,-1.2331868935909125,1,263,42000,0.0062619047619047619
signalling,NA,-1.2329313280476184,1,264,42000,0.006285714285714286
signalling,NA,-1.2327480845130805,1,265,42000,0.0063095238095238091
signalling,NA,-1.232270891802733,1,266,42000,0.0063333333333333332
signalling,NA,-1.2313859083805183,1,267,42000,0.0063571428571428572
signalling,NA,-1.2309668777010998,1,268,42000,0.0063809523809523813
signalling,NA,-1.2308061796049892,1,269,42000,0.0064047619047619044
signalling,NA,-1.230258215250972,1,270,42000,0.0064285714285714285
signalling,NA,-1.2294011215197946,1,271,42000,0.0064523809523809525
signalling,NA,-1.2293795042035578,1,272,42000,0.0064761904761904765
signalling,NA,-1.2292768843038469,1,273,42000,0.0064999999999999997
signalling,NA,-1.2289250752019198,1,274,42000,0.0065238095238095237
signalling,NA,-1.227900199371369,1,275,42000,0.0065476190476190478
signalling,NA,-1.2269796472662924,1,276,42000,0.0065714285714285718
signalling,NA,-1.2261633450579323,1,277,42000,0.006595238095238095
signalling,NA,-1.225860601140485,1,278,42000,0.006619047619047619
signalling,NA,-1.2257904275137843,1,279,42000,0.0066428571428571431
signalling,NA,-1.2253621955454257,1,280,42000,0.0066666666666666671
signalling,NA,-1.2253139540742757,1,281,42000,0.0066904761904761903
signalling,NA,-1.2253021969237516,1,282,42000,0.0067142857142857143
signalling,NA,-1.224852205196049,1,283,42000,0.0067380952380952383
signalling,NA,-1.224757864332367,1,284,42000,0.0067619047619047615
signalling,NA,-1.2242658268001094,1,285,42000,0.0067857142857142855
signalling,NA,-1.223898905113231,1,286,42000,0.0068095238095238096
signalling,NA,-1.2235803157633705,1,287,42000,0.0068333333333333336
signalling,NA,-1.2231465695681552,1,288,42000,0.0068571428571428568
signalling,NA,-1.2227727187093635,1,289,42000,0.0068809523809523808
signalling,NA,-1.2219684516588487,1,290,42000,0.0069047619047619049
signalling,NA,-1.2214900190722855,1,291,42000,0.0069285714285714289
signalling,NA,-1.22084091030203,1,292,42000,0.0069523809523809521
signalling,NA,-1.220734859030728,1,293,42000,0.0069761904761904761
signalling,NA,-1.2197822596746235,1,294,42000,0.0070000000000000001
signalling,NA,-1.2196797247965,1,295,42000,0.0070238095238095242
signalling,NA,-1.2194996114725047,1,296,42000,0.0070476190476190474
signalling,NA,-1.21940018555634,1,297,42000,0.0070714285714285714
signalling,NA,-1.2183880010924584,1,298,42000,0.0070952380952380954
signalling,NA,-1.2176471396995794,1,299,42000,0.0071190476190476195
signalling,NA,-1.217420279125945,1,300,42000,0.0071428571428571426
signalling,NA,-1.217261655697348,1,301,42000,0.0071666666666666667
signalling,NA,-1.2170549685613603,1,302,42000,0.0071904761904761907
signalling,NA,-1.216736735386064,1,303,42000,0.0072142857142857139
signalling,NA,-1.2165068000689163,1,304,42000,0.0072380952380952379
signalling,NA,-1.2163215888115546,1,305,42000,0.007261904761904762
signalling,NA,-1.2145257000859373,1,306,42000,0.007285714285714286
signalling,NA,-1.2144492939504772,1,307,42000,0.0073095238095238092
signalling,NA,-1.2143357504717385,1,308,42000,0.0073333333333333332
signalling,NA,-1.2143188885671086,1,309,42000,0.0073571428571428572
signalling,NA,-1.2140806757696974,1,310,42000,0.0073809523809523813
signalling,NA,-1.2139654789940697,1,311,42000,0.0074047619047619044
signalling,NA,-1.213493094826334,1,312,42000,0.0074285714285714285
signalling,NA,-1.2130174375298912,1,313,42000,0.0074523809523809525
signalling,NA,-1.211932307287692,1,314,42000,0.0074761904761904766
signalling,NA,-1.211734312385132,1,315,42000,0.0074999999999999997
