region,display_region_linear,maintenance_difference_sd,model_predictor_z_linear,probability_linear,ci_low_linear,ci_high_linear,se_linear,n_model_matches_linear,n_reference_matches_linear,method_linear,specification_linear,display_region_spline,model_predictor_z_spline,probability_spline,ci_low_spline,ci_high_spline,se_spline,n_model_matches_spline,n_reference_matches_spline,method_spline,specification_spline,difference_percentage_points
NA,NA,-0.7999999999999998,-0.7576089465939223,0.4758642640570487,0.4744925861599284,0.477235941954169,0.000699835661796,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.7576089465939223,0.4750645341875683,0.4731727021806309,0.4769563661945056,0.0009652204117027,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0799729869480403
NA,NA,-0.75,-0.7076089465939225,0.4768102432920107,0.4754700018196771,0.4781504847643443,0.0006837966695579,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.7076089465939225,0.4760118781070116,0.474114086295252,0.4779096699187712,0.0009682611284487,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0798365184999094
NA,NA,-0.7,-0.6576089465939224,0.4777563721768145,0.4764461282652507,0.4790666160883783,0.0006684917916141,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.6576089465939224,0.4769678156358005,0.4750695157507083,0.4788661155208927,0.0009685203495368,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0788556541014007
NA,NA,-0.6499999999999999,-0.6076089465939224,0.4787026445459427,0.4774208549867154,0.4799844341051699,0.0006539742649118,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.6076089465939224,0.4779327896317161,0.4760406213886047,0.4798249578748275,0.0009653919607711,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0769854914226597
NA,NA,-0.5999999999999999,-0.5576089465939223,0.479649054230618,0.4783940676315335,0.4809040408297025,0.0006402992852471,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.5576089465939223,0.478907242914046,0.4770287878157299,0.4807856980123621,0.0009583954583245,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0741811316571972
NA,NA,-0.5499999999999998,-0.5076089465939223,0.4805955950589512,0.4793656489675256,0.4818255411503768,0.0006275235160334,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.5076089465939223,0.4798916182310347,0.4780351220176093,0.4817481144444602,0.0009471919456252,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0703976827916508
NA,NA,-0.5,-0.4576089465939225,0.4815422608560573,0.4803354801361525,0.4827490415759621,0.000615704448931,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.4576089465939225,0.4808863582258267,0.4790604042532883,0.4827123121983652,0.0009316091696624,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0655902630230576
NA,NA,-0.4499999999999999,-0.4076089465939224,0.4824890454442299,0.4813034422110652,0.4836746486773947,0.0006048996087575,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.4076089465939224,0.4818919054006556,0.480105011941128,0.4836787988601832,0.0009116803364936,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0597140043574306
NA,NA,-0.3999999999999999,-0.3576089465939224,0.4834359426430683,0.4822694180589702,0.4846024672271664,0.0005951656041316,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.3576089465939224,0.4829086823371398,0.4811687664864528,0.4846485981878268,0.0008877121687178,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0527260305928478
NA,NA,-0.3499999999999998,-0.3076089465939223,0.4843829462696119,0.4832332944766838,0.48553259806254,0.0005865570372082,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.3076089465939223,0.4839362621487142,0.482249231800041,0.4856232924973875,0.0008607297697312,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0446684120897711
