predictor,beta,se,ci_low,ci_high,odds_ratio,or_low,or_high,p_value,n_matches,outcome,model,interval_method,specification,status,q_value_within_sensitivity_family,patch
maintenance_diff_z,0.1379752939474711,0.0255285950717757,0.0879392476067907,0.1880113402881515,1.1479471886802848,1.0919217831515713,1.2068472012670213,6.490424048849132e-08,7638,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.24,estimated,1.033169542469862e-07,14.24
maintenance_diff_z,0.0923937608476548,0.0289919841742901,0.0355694718660461,0.1492180498292635,1.0967966126280253,1.036209633044395,1.16092610135074,0.001438200944961,5537,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.1,estimated,0.0018696612284493,15.1
maintenance_diff_z,0.114698218542791,0.032178417928096,0.0516285194037228,0.1777679176818591,1.121534928051661,1.052984506537218,1.1945480555799477,0.00036462613355,4548,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.2,estimated,0.00049035928305,15.2
maintenance_diff_z,0.1159155094957505,0.0305380447768424,0.0560609417331392,0.1757700772583618,1.1229009936539698,1.0576621375363653,1.1921639215393764,0.0001471836688026,5176,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.3,estimated,0.0002087332030291,15.3
maintenance_diff_z,0.0913854869887982,0.0310312439326115,0.0305642488808795,0.1522067250967168,1.095691298598291,1.0310361308383629,1.1644009224466454,0.0032300600988271,5026,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.4,estimated,0.0040636239952986,15.4
maintenance_diff_z,0.0337003139875612,0.0357184169330138,-0.0363077832011459,0.1037084111762685,1.0342746026470606,0.9643434390913812,1.1092769549908952,0.3454253926294053,3937,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.5,estimated,0.3545155345407054,15.5
maintenance_diff_z,0.0698328774417569,0.0334530957852911,0.0042648097025862,0.1354009451809276,1.072328955919944,1.0042739169457695,1.1449957728678626,0.0368442027741695,4254,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.6,estimated,0.0411575635740056,15.6
maintenance_diff_z,0.0364544654185047,0.0353206755677617,-0.0327740586943082,0.1056829895313178,1.0371270777951,0.9677571912125198,1.1114694731930894,0.3020253247221519,3905,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.7,estimated,0.3141063377110379,15.7
maintenance_diff_z,0.0773682208620452,0.0323535787947969,0.0139552064242432,0.1407812352998472,1.0804398436456208,1.014053034859708,1.1511727844673072,0.0167872622882221,4433,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.8,estimated,0.0198394917951715,15.8
maintenance_diff_z,0.1014341809046449,0.0309280702265812,0.0408151632605457,0.1620531985487442,1.1067570702454212,1.0416595507954411,1.1759227970432862,0.0010392480108494,5118,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.9,estimated,0.001373921099089,15.9
maintenance_diff_z,0.1412253290228897,0.0292136360568495,0.0839666023514646,0.1984840556943148,1.1516841266085402,1.0875925701678593,1.2195525823400604,1.3366443603831526e-06,5707,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.10,estimated,2.085165202197718e-06,15.10
maintenance_diff_z,0.0698372281013592,0.027081841413101,0.0167568189316811,0.1229176372710373,1.0723336212683616,1.016898001912162,1.130791282056078,0.009915926666923,6272,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.11,estimated,0.0120850356253124,15.11
maintenance_diff_z,0.0622982319122511,0.0249473539592161,0.0134014181521874,0.1111950456723149,1.0642796995729842,1.013491619648688,1.1176128711511124,0.0125182584546565,7700,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.12,estimated,0.0150219101455878,15.12
maintenance_diff_z,0.1296226211733624,0.020172870588729,0.0900837948194533,0.1691614475272714,1.1383986946883773,1.094265973683283,1.184311327625447,1.313579197511442e-10,11660,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.13,estimated,2.2768706090198328e-10,15.13
maintenance_diff_z,0.0808664044791844,0.0216913907637171,0.0383512785822988,0.12338153037607,1.0842260391484428,1.039096181008851,1.1313159700252111,0.0001929736230203,10370,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.14,estimated,0.0002687846892068,15.14
maintenance_diff_z,0.0920206780160746,0.0222814847632828,0.0483489678800404,0.135692388152109,1.0963874929646251,1.0495368460745484,1.1453295224700228,3.628945555195395e-05,9803,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.15,estimated,5.241810246393348e-05,15.15
maintenance_diff_z,0.0799725849109688,0.0215632749950625,0.0377085659206462,0.1222366039012913,1.0832573696706405,1.03842855530537,1.1300214376334057,0.000208293005696,10695,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.16,estimated,0.0002850325341103,15.16
maintenance_diff_z,0.0966772047141405,0.0208538097337152,0.0558037376360585,0.1375506717922224,1.1015047556857147,1.0573901374825276,1.1474598483459897,3.5530304727673285e-06,10964,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.17,estimated,5.329545709150993e-06,15.17
maintenance_diff_z,0.085175207576444,0.0198960951578078,0.0461788610671406,0.1241715540857475,1.0889078348886163,1.047261708553081,1.1322100896059977,1.860543407036393e-05,12164,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.18,estimated,2.738158221676201e-05,15.18
maintenance_diff_z,0.0871646213943588,0.0181164462464626,0.0516563867512919,0.1226728560374257,1.0910762794333666,1.0530138508313185,1.1305145194456276,1.4991183337901012e-06,15091,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.19,estimated,2.292769216384861e-06,15.19
