measure,contrast,percentile,quantile_region_A,quantile_region_B,quantile_difference,uncertainty
maintenance,EUW-NA,1,-1.0983014803976183,-1.1098263355169609,0.0115248551193425,descriptive; no pointwise inference
signalling,EUW-NA,8,-0.8060774207382696,-0.8611076475784619,0.0550302268401923,descriptive; no pointwise inference
signalling,EUW-NA,9,-0.7821940642162951,-0.8384628631880047,0.0562687989717095,descriptive; no pointwise inference
signalling,EUW-NA,10,-0.759591002106824,-0.816954961941257,0.0573639598344331,descriptive; no pointwise inference
signalling,EUW-NA,11,-0.7385354335219565,-0.7975215268450271,0.0589860933230705,descriptive; no pointwise inference
signalling,EUW-NA,12,-0.7189059888479702,-0.7792743504057624,0.0603683615577922,descriptive; no pointwise inference
signalling,EUW-NA,13,-0.7008291119599181,-0.761858615817029,0.0610295038571108,descriptive; no pointwise inference
signalling,EUW-NA,14,-0.6833154276623502,-0.7448657570329854,0.0615503293706352,descriptive; no pointwise inference
signalling,EUW-NA,15,-0.6667743633113148,-0.729863668890783,0.0630893055794682,descriptive; no pointwise inference
signalling,EUW-NA,16,-0.6509988030621973,-0.7156314269877262,0.0646326239255289,descriptive; no pointwise inference
signalling,EUW-NA,17,-0.6340314296620239,-0.7004635276607137,0.0664320979986898,descriptive; no pointwise inference
signalling,EUW-NA,18,-0.6187231352450886,-0.6858659188239182,0.0671427835788296,descriptive; no pointwise inference
signalling,EUW-NA,19,-0.6029615393444915,-0.6719666940696691,0.0690051547251776,descriptive; no pointwise inference
signalling,EUW-NA,20,-0.5884832840836273,-0.658497101840733,0.0700138177571056,descriptive; no pointwise inference
signalling,EUW-NA,21,-0.5733086084196208,-0.644991879639227,0.0716832712196061,descriptive; no pointwise inference
signalling,EUW-NA,22,-0.5596379718026029,-0.6315074318393744,0.0718694600367715,descriptive; no pointwise inference
signalling,EUW-NA,23,-0.546583885212422,-0.6193413297621218,0.0727574445496997,descriptive; no pointwise inference
signalling,EUW-NA,24,-0.5327103061830515,-0.6069580127664315,0.0742477065833799,descriptive; no pointwise inference
signalling,EUW-NA,25,-0.5187967914511002,-0.5935673205234312,0.0747705290723309,descriptive; no pointwise inference
signalling,EUW-NA,26,-0.5055898967024761,-0.5815103109543933,0.0759204142519172,descriptive; no pointwise inference
signalling,EUW-NA,27,-0.4915170454033816,-0.5696504265303951,0.0781333811270135,descriptive; no pointwise inference
signalling,EUW-NA,28,-0.4765867251604163,-0.556878302289824,0.0802915771294077,descriptive; no pointwise inference
signalling,EUW-NA,29,-0.4631947965162985,-0.5451035246539815,0.0819087281376829,descriptive; no pointwise inference
signalling,EUW-NA,30,-0.4489689580658675,-0.5325173657287929,0.0835484076629254,descriptive; no pointwise inference
signalling,EUW-NA,31,-0.4351275418908488,-0.5197723617658954,0.0846448198750465,descriptive; no pointwise inference
signalling,EUW-NA,32,-0.421668181408679,-0.5082489932448698,0.0865808118361908,descriptive; no pointwise inference
signalling,EUW-NA,33,-0.4078624452127115,-0.4969007536803559,0.0890383084676444,descriptive; no pointwise inference
signalling,EUW-NA,34,-0.395180822394525,-0.4846181674918625,0.0894373450973375,descriptive; no pointwise inference
signalling,EUW-NA,35,-0.3817126898441112,-0.4724552820785342,0.0907425922344229,descriptive; no pointwise inference
signalling,EUW-NA,36,-0.3679943922450722,-0.4611824356046816,0.0931880433596094,descriptive; no pointwise inference
signalling,EUW-NA,37,-0.3541079090197627,-0.4483107869929569,0.0942028779731941,descriptive; no pointwise inference
signalling,EUW-NA,38,-0.3394252497177995,-0.437304874551965,0.0978796248341654,descriptive; no pointwise inference
signalling,EUW-NA,39,-0.3263551787456499,-0.4242795516858186,0.0979243729401687,descriptive; no pointwise inference
signalling,EUW-NA,40,-0.3126411139728419,-0.4116804575140581,0.0990393435412162,descriptive; no pointwise inference
signalling,EUW-NA,41,-0.2975472760435619,-0.3991337920338572,0.1015865159902952,descriptive; no pointwise inference
