measure,contrast,percentile,quantile_region_A,quantile_region_B,quantile_difference,uncertainty
signalling,KR-EUW,38,-0.1800107900070331,-0.3394252497177995,0.1594144597107664,descriptive; no pointwise inference
signalling,KR-EUW,39,-0.164403947794672,-0.3263551787456499,0.1619512309509778,descriptive; no pointwise inference
signalling,KR-EUW,40,-0.1501265893530101,-0.3126411139728419,0.1625145246198317,descriptive; no pointwise inference
signalling,KR-EUW,41,-0.1359194876776275,-0.2975472760435619,0.1616277883659344,descriptive; no pointwise inference
signalling,KR-EUW,42,-0.1217612084985075,-0.2840491718220424,0.1622879633235348,descriptive; no pointwise inference
signalling,KR-EUW,43,-0.1074168553395745,-0.2681589514390617,0.1607420960994872,descriptive; no pointwise inference
signalling,KR-EUW,44,-0.0918083412939455,-0.2533534954014066,0.1615451541074611,descriptive; no pointwise inference
signalling,KR-EUW,45,-0.0764702406285979,-0.239447152838496,0.1629769122098981,descriptive; no pointwise inference
signalling,KR-EUW,46,-0.0609849506270557,-0.2246008641697897,0.163615913542734,descriptive; no pointwise inference
signalling,KR-EUW,47,-0.0454510335613833,-0.2096457056172069,0.1641946720558236,descriptive; no pointwise inference
signalling,KR-EUW,48,-0.0310217409870496,-0.1930390307126244,0.1620172897255747,descriptive; no pointwise inference
signalling,KR-EUW,49,-0.014203588446775,-0.1768812300193916,0.1626776415726165,descriptive; no pointwise inference
signalling,KR-EUW,50,0.0009324019272016,-0.1601653729260582,0.1610977748532598,descriptive; no pointwise inference
signalling,KR-EUW,51,0.0166451960102653,-0.1433153573265949,0.1599605533368602,descriptive; no pointwise inference
signalling,KR-EUW,52,0.0329321380575934,-0.1272866761544091,0.1602188142120025,descriptive; no pointwise inference
signalling,KR-EUW,53,0.04873744761574,-0.1111161072759396,0.1598535548916796,descriptive; no pointwise inference
signalling,KR-EUW,54,0.0654076339926412,-0.0947893130159849,0.1601969470086262,descriptive; no pointwise inference
signalling,KR-EUW,55,0.0810772183526418,-0.0782184380366669,0.1592956563893087,descriptive; no pointwise inference
signalling,KR-EUW,56,0.0985682482478924,-0.0617094833587892,0.1602777316066816,descriptive; no pointwise inference
signalling,KR-EUW,57,0.1160987153788641,-0.0429207670938324,0.1590194824726966,descriptive; no pointwise inference
signalling,KR-EUW,58,0.1323379532345818,-0.0234496505574681,0.1557876037920499,descriptive; no pointwise inference
signalling,KR-EUW,59,0.1481289444559611,-0.0043736322479562,0.1525025767039174,descriptive; no pointwise inference
signalling,KR-EUW,60,0.1672869351930944,0.0138175953012337,0.1534693398918608,descriptive; no pointwise inference
signalling,KR-EUW,61,0.18552703570564,0.0316850403769843,0.1538419953286557,descriptive; no pointwise inference
signalling,KR-EUW,62,0.203861905498586,0.0520076239697449,0.1518542815288411,descriptive; no pointwise inference
signalling,KR-EUW,63,0.222174953499192,0.0698688712441334,0.1523060822550586,descriptive; no pointwise inference
signalling,KR-EUW,64,0.2418846726727501,0.0898672579058575,0.1520174147668926,descriptive; no pointwise inference
signalling,KR-EUW,65,0.2618086079275328,0.1103770509219863,0.1514315570055465,descriptive; no pointwise inference
signalling,KR-EUW,66,0.2814404030480107,0.1331379814696053,0.1483024215784053,descriptive; no pointwise inference
signalling,KR-EUW,67,0.3021791623932515,0.1549749963962866,0.1472041659969649,descriptive; no pointwise inference
signalling,KR-EUW,68,0.3224430296104387,0.1781537734019093,0.1442892562085293,descriptive; no pointwise inference
signalling,KR-EUW,69,0.3418693371819219,0.2022391179949054,0.1396302191870164,descriptive; no pointwise inference
signalling,KR-EUW,70,0.3647240907128619,0.225320059456144,0.1394040312567178,descriptive; no pointwise inference
signalling,KR-EUW,71,0.3872256432992114,0.2509273165102604,0.1362983267889509,descriptive; no pointwise inference
signalling,KR-EUW,72,0.4098693440177332,0.2761892129641649,0.1336801310535683,descriptive; no pointwise inference
signalling,KR-EUW,73,0.4327197444942826,0.3028692014632186,0.1298505430310639,descriptive; no pointwise inference
signalling,KR-EUW,74,0.4555107311541698,0.3306957435999423,0.1248149875542274,descriptive; no pointwise inference
signalling,KR-EUW,75,0.4821099926248262,0.3581539998359574,0.1239559927888687,descriptive; no pointwise inference
signalling,KR-EUW,76,0.5095657885680182,0.3863816248133989,0.1231841637546192,descriptive; no pointwise inference
signalling,KR-EUW,77,0.5353826916189705,0.4177482307072499,0.1176344609117205,descriptive; no pointwise inference
signalling,KR-EUW,78,0.5651975871090282,0.4465896641011278,0.1186079230079004,descriptive; no pointwise inference
signalling,KR-EUW,79,0.5957800446688258,0.4788918588375114,0.1168881858313144,descriptive; no pointwise inference
signalling,KR-EUW,80,0.6256747365723415,0.5134048780664168,0.1122698585059247,descriptive; no pointwise inference
signalling,KR-EUW,81,0.6583678712863011,0.5495372723645624,0.1088305989217387,descriptive; no pointwise inference
signalling,KR-EUW,82,0.6913106170296973,0.589539353067702,0.1017712639619953,descriptive; no pointwise inference
signalling,KR-EUW,83,0.7275875031348628,0.6362417672252099,0.0913457359096528,descriptive; no pointwise inference
signalling,KR-EUW,84,0.7641225423673663,0.6808584789766593,0.083264063390707,descriptive; no pointwise inference
signalling,KR-EUW,85,0.8018149944040016,0.7214892282587273,0.0803257661452743,descriptive; no pointwise inference
signalling,KR-EUW,86,0.8458917058905704,0.768627135740962,0.0772645701496084,descriptive; no pointwise inference
signalling,KR-EUW,87,0.8936173126242672,0.8165697732132067,0.0770475394110605,descriptive; no pointwise inference
signalling,KR-EUW,88,0.9438161616496924,0.8730440189040766,0.0707721427456158,descriptive; no pointwise inference
signalling,KR-EUW,89,1.0056163541379783,0.9382030716024092,0.0674132825355691,descriptive; no pointwise inference
signalling,KR-EUW,90,1.0647628757080518,1.0021639185683655,0.0625989571396861,descriptive; no pointwise inference
signalling,KR-EUW,91,1.1270997798782674,1.0702532042565511,0.056846575621716,descriptive; no pointwise inference
signalling,KR-EUW,92,1.196481096747814,1.1524936022779677,0.0439874944698466,descriptive; no pointwise inference
signalling,KR-EUW,93,1.2733150526979071,1.238459542783613,0.0348555099142942,descriptive; no pointwise inference
signalling,KR-EUW,94,1.3669488882143352,1.343275964910456,0.0236729233038792,descriptive; no pointwise inference
signalling,KR-EUW,95,1.4718262394725212,1.4711800418786554,0.0006461975938658,descriptive; no pointwise inference
signalling,KR-EUW,96,1.6026991855860764,1.63045931948758,-0.0277601339015036,descriptive; no pointwise inference
signalling,KR-EUW,97,1.7757462211864643,1.8177599831144688,-0.0420137619280043,descriptive; no pointwise inference
signalling,KR-EUW,98,2.006423286994636,2.0999413897198007,-0.0935181027251648,descriptive; no pointwise inference
signalling,KR-EUW,99,2.3984184912435524,2.6081451076473847,-0.2097266164038322,descriptive; no pointwise inference
