measure,region,score,frequency,cumulative_count,n_players,cumulative_fraction
maintenance,NA,-1.2953651936107555,1,195,42000,0.004642857142857143
maintenance,NA,-1.2950414484817336,1,196,42000,0.0046666666666666671
maintenance,NA,-1.2947245080308374,1,197,42000,0.0046904761904761902
maintenance,NA,-1.2943647099080242,1,198,42000,0.0047142857142857143
maintenance,NA,-1.2931071906466889,1,199,42000,0.0047380952380952383
maintenance,NA,-1.2929650606949366,1,200,42000,0.0047619047619047623
maintenance,NA,-1.290737237515187,1,201,42000,0.0047857142857142855
maintenance,NA,-1.2901520822052317,1,202,42000,0.0048095238095238095
maintenance,NA,-1.287405326225083,1,203,42000,0.0048333333333333336
maintenance,NA,-1.2863877473506835,1,204,42000,0.0048571428571428567
maintenance,NA,-1.2863317522488418,1,205,42000,0.0048809523809523808
maintenance,NA,-1.2863125796301569,1,206,42000,0.0049047619047619048
maintenance,NA,-1.2824227174410832,1,207,42000,0.0049285714285714289
maintenance,NA,-1.2793336009809522,1,208,42000,0.004952380952380952
maintenance,NA,-1.276650807061797,1,209,42000,0.0049761904761904761
maintenance,NA,-1.2761092957715323,1,210,42000,0.0050000000000000001
maintenance,NA,-1.2755034837069612,1,211,42000,0.0050238095238095241
maintenance,NA,-1.2749234158938156,1,212,42000,0.0050476190476190473
maintenance,NA,-1.2740884599725504,1,213,42000,0.0050714285714285713
maintenance,NA,-1.2731902507201365,1,214,42000,0.0050952380952380954
maintenance,NA,-1.2720267360563309,1,215,42000,0.0051190476190476194
maintenance,NA,-1.2719532158391995,1,216,42000,0.0051428571428571426
maintenance,NA,-1.2716702932712955,1,217,42000,0.0051666666666666666
maintenance,NA,-1.2695306325025897,1,218,42000,0.0051904761904761907
maintenance,NA,-1.268450367869674,1,219,42000,0.0052142857142857147
maintenance,NA,-1.2675367019513804,1,220,42000,0.0052380952380952379
maintenance,NA,-1.266994827575216,1,221,42000,0.0052619047619047619
maintenance,NA,-1.266100615955432,1,222,42000,0.0052857142857142859
maintenance,NA,-1.265807386769047,1,223,42000,0.0053095238095238091
maintenance,NA,-1.2655547982877642,1,224,42000,0.0053333333333333332
maintenance,NA,-1.2648806839637894,1,225,42000,0.0053571428571428572
maintenance,NA,-1.2645329010770627,1,226,42000,0.0053809523809523812
maintenance,NA,-1.264220342966763,1,227,42000,0.0054047619047619044
maintenance,NA,-1.262973795764474,1,228,42000,0.0054285714285714284
maintenance,NA,-1.2625336876242628,1,229,42000,0.0054523809523809525
maintenance,NA,-1.26206990368388,1,230,42000,0.0054761904761904765
maintenance,NA,-1.261944668857958,1,231,42000,0.0054999999999999997
maintenance,NA,-1.261944177823973,1,232,42000,0.0055238095238095237
maintenance,NA,-1.2614892407392722,1,233,42000,0.0055476190476190478
maintenance,NA,-1.2594340541140072,1,234,42000,0.0055714285714285718
maintenance,NA,-1.2590459230481703,1,235,42000,0.005595238095238095
maintenance,NA,-1.2588413409636343,1,236,42000,0.005619047619047619
maintenance,NA,-1.2576647503400458,1,237,42000,0.005642857142857143
maintenance,NA,-1.2574877104789948,1,238,42000,0.0056666666666666671
maintenance,NA,-1.2566785060486705,1,239,42000,0.0056904761904761902
maintenance,NA,-1.2557908630519343,1,240,42000,0.0057142857142857143
maintenance,NA,-1.252273168429066,1,241,42000,0.0057380952380952383
maintenance,NA,-1.2511335640523935,1,242,42000,0.0057619047619047615
maintenance,NA,-1.2496806180883542,1,243,42000,0.0057857142857142855
maintenance,NA,-1.2496598037467153,1,244,42000,0.0058095238095238096
maintenance,NA,-1.2494257868667416,1,245,42000,0.0058333333333333336
maintenance,NA,-1.2475232055902956,1,246,42000,0.0058571428571428568
maintenance,NA,-1.2466373827793478,1,247,42000,0.0058809523809523808
maintenance,NA,-1.2460481637378042,1,248,42000,0.0059047619047619048
maintenance,NA,-1.243290838288493,1,249,42000,0.0059285714285714289
maintenance,NA,-1.243284776609887,1,250,42000,0.0059523809523809521
maintenance,NA,-1.2432128801523437,1,251,42000,0.0059761904761904761
maintenance,NA,-1.2427875642046389,1,252,42000,0.0060000000000000001
maintenance,NA,-1.2419922009087851,1,253,42000,0.0060238095238095242
